BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2449464.5956,-13782.0,8.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49464.5956,,Naef et al. (2004)
2449464.5956,-13761.4,7.5591640505893105,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49464.5956,,ELODIE DRS TACOS
2449531.4302,-13751.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49531.4302,,Naef et al. (2004)
2449531.4302,-13735.9,6.721292592472471,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49531.4302,,ELODIE DRS TACOS
2449752.6051,-13802.0,8.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49752.6051,,Naef et al. (2004)
2449752.6051,-13802.3,8.071322803891572,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49752.6051,,ELODIE DRS TACOS
2449755.7183,-13812.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49755.7183,,Naef et al. (2004)
2449755.7183,-13812.3,6.882301820938728,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49755.7183,,ELODIE DRS TACOS
2449766.7061,-13791.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49766.7061,,Naef et al. (2004)
2449766.7061,-13791.3,7.233925118524622,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49766.7061,,ELODIE DRS TACOS
2449820.6112,-13844.0,8.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49820.6112,,Naef et al. (2004)
2449820.6112,-13832.8,7.574121699894152,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49820.6112,,ELODIE DRS TACOS
2449851.5208,-13867.0,8.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49851.5208,,Naef et al. (2004)
2449851.5208,-13855.8,7.623964261278131,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49851.5208,,ELODIE DRS TACOS
2449904.4072,-13863.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49904.4072,,Naef et al. (2004)
2449904.4072,-13859.5,7.201516751099277,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49904.4072,,ELODIE DRS TACOS
2449907.4065,-13864.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49907.4065,,Naef et al. (2004)
2449907.4065,-13860.5,6.897402415933342,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49907.4065,,ELODIE DRS TACOS
2449970.3277,-13856.1,7.042088390160998,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49970.3277,,ELODIE DRS TACOS
2449970.3277,-13852.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,49970.3277,,Naef et al. (2004)
2450021.2673,-13895.5,6.81624683749756,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50021.2673,,ELODIE DRS TACOS
2450021.2673,-13896.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50021.2673,,Naef et al. (2004)
2450027.2444,-13882.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50027.2444,,Naef et al. (2004)
2450027.2444,-13881.5,7.12908476249645,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50027.2444,,ELODIE DRS TACOS
2450091.6821,-13882.5,13.74005590139602,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50091.6821,,ELODIE DRS TACOS
2450091.6909,-13886.5,7.322090478710702,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50091.6909,,ELODIE DRS TACOS
2450091.6909,-13887.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50091.6909,,Naef et al. (2004)
2450148.5611,-13874.3,7.034758080598503,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50148.5611,,ELODIE DRS TACOS
2450148.5611,-13897.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50148.5611,,Naef et al. (2004)
2450150.6383,-13878.3,6.869648735375469,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50150.6383,,ELODIE DRS TACOS
2450150.6383,-13901.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50150.6383,,Naef et al. (2004)
2450207.5116,-13884.3,6.710570430153276,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50207.5116,,ELODIE DRS TACOS
2450207.5116,-13907.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50207.5116,,Naef et al. (2004)
2450212.5237,-13902.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50212.5237,,Naef et al. (2004)
2450212.5237,-13879.3,6.884134516419772,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50212.5237,,ELODIE DRS TACOS
2450263.5103,-13908.7,6.786490374332554,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50263.5103,,ELODIE DRS TACOS
2450263.5103,-13902.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50263.5103,,Naef et al. (2004)
2450265.4403,-13927.7,7.001203413121667,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50265.4403,,ELODIE DRS TACOS
2450265.4403,-13921.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50265.4403,,Naef et al. (2004)
2450267.467,-13906.7,7.279112527202723,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50267.467,,ELODIE DRS TACOS
2450267.467,-13900.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50267.467,,Naef et al. (2004)
2450324.3571,-13883.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50324.3571,,Naef et al. (2004)
2450324.3571,-13887.1,7.024320275864672,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50324.3571,,ELODIE DRS TACOS
2450380.2417,-13888.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50380.2417,,Naef et al. (2004)
2450380.2417,-13892.1,6.896832542578928,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50380.2417,,ELODIE DRS TACOS
2450382.2442,-13886.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50382.2442,,Naef et al. (2004)
2450382.2442,-13890.1,7.040847936347227,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50382.2442,,ELODIE DRS TACOS
2450474.7151,-13890.5,6.735739245717557,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50474.7151,,ELODIE DRS TACOS
2450474.7151,-13906.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50474.7151,,Naef et al. (2004)
2450474.7239,-13908.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50474.7239,,Naef et al. (2004)
2450474.7239,-13892.5,6.698621338566044,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50474.7239,,ELODIE DRS TACOS
2450531.6407,-13864.4,6.967069380699588,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50531.6407,,ELODIE DRS TACOS
2450531.6407,-13867.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50531.6407,,Naef et al. (2004)
2450531.6528,-13870.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50531.6528,,Naef et al. (2004)
2450531.6528,-13867.4,7.073549646274192,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50531.6528,,ELODIE DRS TACOS
2450535.6413,-13870.4,6.873937940059789,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50535.6413,,ELODIE DRS TACOS
2450535.6413,-13873.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50535.6413,,Naef et al. (2004)
2450546.11176,-56.3,2.3,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50546.11176,,Butler et al. (2006)
2450546.11176,2.35,1.1222,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50546.11176,,Rosenthal et al. (2021)
2450546.11176,-0.01,1.31,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50546.11176,,Butler et al. (2017)
2450561.5672,-13899.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50561.5672,,Naef et al. (2004)
2450561.5672,-13895.0,6.86634524355624,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50561.5672,,ELODIE DRS TACOS
2450579.5503,-13879.3,6.832136647520522,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50579.5503,,ELODIE DRS TACOS
2450579.5503,-13882.0,7.0,DACE,14 Her,DACE_PUBLIC,,,DACE_public_get_timeseries,50579.5503,,Naef et al. (2004)
