BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2446957.926,30.7,16.1003,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,46957.926,,Rosenthal et al. (2021)
2446957.926,26.53,16.1,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,46957.926,,Fischer et al. (2014)
2447046.7669,31.99,9.566,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,47046.7669,,Rosenthal et al. (2021)
2447046.7669,27.81,9.57,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,47046.7669,,Fischer et al. (2014)
2447046.7756,13.22,8.66,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,47046.7756,,Fischer et al. (2014)
2447046.7756,17.4,8.6608,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,47046.7756,,Rosenthal et al. (2021)
2447846.675,21.82,8.77,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,47846.675,,Fischer et al. (2014)
2447846.675,26.0,8.7715,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,47846.675,,Rosenthal et al. (2021)
2448019.9472,75.53,17.0656,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48019.9472,,Rosenthal et al. (2021)
2448019.9472,71.36,17.07,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48019.9472,,Fischer et al. (2014)
2448019.9591,69.16,17.29,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48019.9591,,Fischer et al. (2014)
2448019.9591,73.34,17.2924,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48019.9591,,Rosenthal et al. (2021)
2448113.8226,68.6,10.3992,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48113.8226,,Rosenthal et al. (2021)
2448113.8226,64.43,10.4,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48113.8226,,Fischer et al. (2014)
2448438.863,-5.49,13.5,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.863,,Fischer et al. (2014)
2448438.863,-1.32,13.4954,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.863,,Rosenthal et al. (2021)
2448438.8802,13.9,12.6988,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.8802,,Rosenthal et al. (2021)
2448438.8802,9.72,12.7,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.8802,,Fischer et al. (2014)
2448846.8365,55.99,24.169,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48846.8365,,Rosenthal et al. (2021)
2448846.8365,51.82,24.17,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48846.8365,,Fischer et al. (2014)
2448846.8801,59.44,9.42,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48846.8801,,Fischer et al. (2014)
2448846.8801,63.61,9.4244,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48846.8801,,Rosenthal et al. (2021)
2448906.7,60.97,10.01,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.7,,Fischer et al. (2014)
2448906.7,65.14,10.009,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.7,,Rosenthal et al. (2021)
2449124.9643,-0.07,14.7045,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49124.9643,,Rosenthal et al. (2021)
2449124.9643,-4.24,14.7,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49124.9643,,Fischer et al. (2014)
2449124.9856,-11.91,13.057,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49124.9856,,Rosenthal et al. (2021)
2449124.9856,-16.08,13.06,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49124.9856,,Fischer et al. (2014)
2449125.007,-46.36,13.81,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49125.007,,Fischer et al. (2014)
2449125.007,-42.18,13.8132,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49125.007,,Rosenthal et al. (2021)
2449172.8728,-2.21,8.68,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.8728,,Fischer et al. (2014)
2449172.8728,1.96,8.68,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.8728,,Rosenthal et al. (2021)
2449172.884,8.75,9.565,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.884,,Rosenthal et al. (2021)
2449172.884,4.58,9.56,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.884,,Fischer et al. (2014)
2449172.928,-8.98,8.2561,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.928,,Rosenthal et al. (2021)
2449172.928,-13.15,8.26,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.928,,Fischer et al. (2014)
2449172.9392,-2.04,8.0409,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.9392,,Rosenthal et al. (2021)
2449172.9392,-6.22,8.04,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.9392,,Fischer et al. (2014)
2449200.8761,-20.44,8.9528,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49200.8761,,Rosenthal et al. (2021)
2449200.8761,-24.62,8.95,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49200.8761,,Fischer et al. (2014)
2449588.7313,31.41,11.0609,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49588.7313,,Rosenthal et al. (2021)
2449588.7313,27.23,11.06,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49588.7313,,Fischer et al. (2014)
2449588.7531,47.88,10.7188,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49588.7531,,Rosenthal et al. (2021)
2449588.7531,43.7,10.72,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49588.7531,,Fischer et al. (2014)
2449601.7568,24.88,9.51,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49601.7568,,Fischer et al. (2014)
2449601.7568,29.06,9.5128,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49601.7568,,Rosenthal et al. (2021)
2449601.7785,24.48,10.29,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49601.7785,,Fischer et al. (2014)
2449601.7785,28.65,10.2881,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49601.7785,,Rosenthal et al. (2021)
2449623.7261,46.46,9.2214,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49623.7261,,Rosenthal et al. (2021)
2449623.7261,42.28,9.22,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49623.7261,,Fischer et al. (2014)
2449858.972,-27.15,9.57,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49858.972,,Fischer et al. (2014)
2449858.972,-22.97,9.5706,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49858.972,,Rosenthal et al. (2021)
2449858.99512,-28.53,8.3056,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49858.99512,,Rosenthal et al. (2021)
2449858.99512,-29.92,4.26,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49858.99512,,Fischer et al. (2014)
2449892.94141,13.03,5.03,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49892.94141,,Fischer et al. (2014)
2449892.94141,7.07,9.3667,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49892.94141,,Rosenthal et al. (2021)
2449892.96387,1.01,4.43,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49892.96387,,Fischer et al. (2014)
2449892.96387,-3.56,9.4898,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49892.96387,,Rosenthal et al. (2021)
2449892.9873,-7.34,8.9148,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49892.9873,,Rosenthal et al. (2021)
2449892.98731,0.77,4.11,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49892.98731,,Fischer et al. (2014)
2449914.9668,-0.3,2.09,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49914.9668,,Fischer et al. (2014)
2449914.9668,-2.48,3.8376,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,49914.9668,,Rosenthal et al. (2021)
2450069.57715,6.63,4.91,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50069.57715,,Fischer et al. (2014)
2450069.57715,-6.28,9.7895,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50069.57715,,Rosenthal et al. (2021)
2450072.57422,4.27,2.64,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50072.57422,,Fischer et al. (2014)
2450072.57422,0.25,5.2094,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50072.57422,,Rosenthal et al. (2021)
2450073.59082,-4.63,4.7983,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50073.59082,,Rosenthal et al. (2021)
2450073.59082,7.72,2.59,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50073.59082,,Fischer et al. (2014)
2450073.60644,0.0,3.16,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50073.60644,,Fischer et al. (2014)
2450073.60645,-6.83,5.9768,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50073.60645,,Rosenthal et al. (2021)
2450089.59375,0.74,5.1954,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50089.59375,,Rosenthal et al. (2021)
2450089.59375,4.23,2.81,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50089.59375,,Fischer et al. (2014)
2450182.00391,15.46,2.06,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50182.00391,,Fischer et al. (2014)
2450182.00391,10.44,3.9484,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50182.00391,,Rosenthal et al. (2021)
2450202.00488,20.09,4.16,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50202.00488,,Fischer et al. (2014)
2450202.00488,15.64,8.4951,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50202.00488,,Rosenthal et al. (2021)
2450203.95215,28.65,4.46,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50203.95215,,Fischer et al. (2014)
2450203.95215,8.32,9.0129,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50203.95215,,Rosenthal et al. (2021)
2450203.97559,22.23,4.27,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50203.97559,,Fischer et al. (2014)
2450203.97559,19.28,8.548,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50203.97559,,Rosenthal et al. (2021)
2450215.9209,17.6,4.05,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50215.9209,,Fischer et al. (2014)
2450215.9209,13.28,7.8663,DACE,16 Cyg B,DACE_PUBLIC,,,DACE_public_get_timeseries,50215.9209,,Rosenthal et al. (2021)
