BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2446959.737,-60.48,14.0,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,46959.737,,Fischer et al. (2002)
2446959.7372,-47.75,13.9986,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,46959.7372,,Rosenthal et al. (2021)
2446959.7372,-66.66,14.0,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,46959.7372,,Fischer et al. (2014)
2447194.908,-52.43,12.8644,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47194.908,,Rosenthal et al. (2021)
2447194.912,-53.6,7.49,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47194.912,,Fischer et al. (2002)
2447194.91222,-59.92,7.49,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47194.91222,,Fischer et al. (2014)
2447194.9124,-39.05,11.7604,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47194.9124,,Rosenthal et al. (2021)
2447194.9167,-28.94,14.849,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47194.9167,,Rosenthal et al. (2021)
2447223.7925,-25.95,11.5235,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47223.7925,,Rosenthal et al. (2021)
2447223.7979,-32.07,10.362,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47223.7979,,Rosenthal et al. (2021)
2447223.798,-38.36,6.14,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47223.798,,Fischer et al. (2002)
2447223.79816,-44.28,6.14,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47223.79816,,Fischer et al. (2014)
2447223.8034,-18.47,10.1681,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47223.8034,,Rosenthal et al. (2021)
2447964.8539,19.94,23.7818,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47964.8539,,Rosenthal et al. (2021)
2447964.89265,-5.56,8.19,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47964.89265,,Fischer et al. (2014)
2447964.893,0.6,8.19,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47964.893,,Fischer et al. (2002)
2447964.898,12.46,8.7221,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,47964.898,,Rosenthal et al. (2021)
2448017.73,-28.29,10.57,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.73,,Fischer et al. (2002)
2448017.7302,-15.23,10.5698,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.7302,,Rosenthal et al. (2021)
2448017.7302,-34.14,10.57,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.7302,,Fischer et al. (2014)
2448374.7707,-27.3,9.367,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,48374.7707,,Rosenthal et al. (2021)
2448374.7707,-46.21,9.37,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,48374.7707,,Fischer et al. (2014)
2448374.771,-40.25,9.37,DACE,47 UMa,DACE_PUBLIC,,,DACE_public_get_timeseries,48374.771,,Fischer et al. (2002)
