BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2449610.5268,-33246.0,8.679706337980196,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49610.5268,,ELODIE DRS TACOS
2449610.5268,-33258.0,9.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49610.5268,,Naef et al. (2004)
2449612.4657,-33213.0,8.547018844028328,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49612.4657,,ELODIE DRS TACOS
2449612.4657,-33225.0,9.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49612.4657,,Naef et al. (2004)
2449653.2973,-33212.0,9.537623511694372,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49653.2973,,ELODIE DRS TACOS
2449655.3067,-33272.0,7.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49655.3067,,Naef et al. (2004)
2449728.2289,-33309.600000000006,7.10184219276707,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49728.2289,,ELODIE DRS TACOS
2449728.2289,-33310.0,7.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49728.2289,,Naef et al. (2004)
2449729.2266,-33247.6,7.361369313933235,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49729.2266,,ELODIE DRS TACOS
2449729.2266,-33248.0,7.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49729.2266,,Naef et al. (2004)
2449730.2367,-33195.6,8.22110527681722,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49730.2367,,ELODIE DRS TACOS
2449730.2367,-33196.0,8.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49730.2367,,Naef et al. (2004)
2449739.2682,-33221.0,8.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49739.2682,,Naef et al. (2004)
2449739.2682,-33220.6,7.972631659840416,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49739.2682,,ELODIE DRS TACOS
2449750.2491,-33249.0,8.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49750.2491,,Naef et al. (2004)
2449750.2491,-33249.3,7.623547688381308,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49750.2491,,ELODIE DRS TACOS
2449751.2471,-33233.3,9.213737612772404,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49751.2471,,ELODIE DRS TACOS
2449751.2471,-33233.0,9.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49751.2471,,Naef et al. (2004)
2449753.248,-33313.0,8.0,DACE,51 Peg,DACE_PUBLIC,,,DACE_public_get_timeseries,49753.248,,Naef et al. (2004)
