BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2447578.73,18.57,9.7,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47578.73,,Fischer et al. (2014)
2447578.73,26.76,9.7,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47578.73,,Marcy et al. (2002)
2447578.73,7.24,9.6971,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47578.73,,Rosenthal et al. (2021)
2447847.0437,-3.18,8.38,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47847.0437,,Fischer et al. (2014)
2447847.0437,4.64,8.4,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47847.0437,,Marcy et al. (2002)
2447847.0437,-14.52,8.3773,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47847.0437,,Rosenthal et al. (2021)
2447847.044,3.91,8.4,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,47847.044,,Fischer et al. (2008)
2448017.6839,12.29,11.3589,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.6839,,Rosenthal et al. (2021)
2448017.688,31.45,7.5,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.688,,Fischer et al. (2008)
2448017.6882,32.84,7.5,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.6882,,Marcy et al. (2002)
2448017.68822,24.36,7.51,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.68822,,Fischer et al. (2014)
2448017.692,13.59,10.0144,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48017.692,,Rosenthal et al. (2021)
2448375.669,-31.38,8.8,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.669,,Fischer et al. (2008)
2448375.6692,-30.37,8.8,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.6692,,Marcy et al. (2002)
2448375.6692,-49.8,8.7894,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.6692,,Rosenthal et al. (2021)
2448375.6692,-38.47,8.79,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.6692,,Fischer et al. (2014)
2448646.001,23.79,8.1,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48646.001,,Fischer et al. (2008)
2448646.0011,5.36,8.0522,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48646.0011,,Rosenthal et al. (2021)
2448646.0011,16.69,8.05,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48646.0011,,Fischer et al. (2014)
2448646.0011,25.15,8.1,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48646.0011,,Marcy et al. (2002)
2448670.76,-51.89,10.3,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.76,,Fischer et al. (2008)
2448670.7605,-70.32,10.2612,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.7605,,Rosenthal et al. (2021)
2448670.7605,-58.98,10.26,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.7605,,Fischer et al. (2014)
2448670.7605,-49.69,10.3,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.7605,,Marcy et al. (2002)
2448906.036,-16.09,7.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.036,,Fischer et al. (2008)
2448906.0361,-34.52,7.1741,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.0361,,Rosenthal et al. (2021)
2448906.0361,-14.35,7.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.0361,,Marcy et al. (2002)
2448906.0361,-23.19,7.17,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.0361,,Fischer et al. (2014)
2448991.9636,-5.64,7.4,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48991.9636,,Marcy et al. (2002)
2448991.9636,-26.46,7.4174,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48991.9636,,Rosenthal et al. (2021)
2448991.9636,-15.13,7.42,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48991.9636,,Fischer et al. (2014)
2448991.964,-8.03,7.4,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48991.964,,Fischer et al. (2008)
2448992.8905,-39.92,7.1964,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48992.8905,,Rosenthal et al. (2021)
2448992.8905,-28.59,7.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48992.8905,,Fischer et al. (2014)
2448992.8905,-19.44,7.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48992.8905,,Marcy et al. (2002)
2448992.891,-21.5,7.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,48992.891,,Fischer et al. (2008)
2449114.7286,32.38,9.1513,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49114.7286,,Rosenthal et al. (2021)
2449114.7286,52.52,9.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49114.7286,,Marcy et al. (2002)
2449114.7286,43.72,9.15,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49114.7286,,Fischer et al. (2014)
2449114.729,50.81,9.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49114.729,,Fischer et al. (2008)
2449305.9981,58.65,11.7783,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49305.9981,,Rosenthal et al. (2021)
2449306.0196,67.06,10.935,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49306.0196,,Rosenthal et al. (2021)
2449306.021,83.11,6.4,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49306.021,,Fischer et al. (2008)
2449306.0212,84.99,6.4,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49306.0212,,Marcy et al. (2002)
2449306.02125,76.01,6.35,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49306.02125,,Fischer et al. (2014)
2449306.0409,67.25,10.43,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49306.0409,,Rosenthal et al. (2021)
2449349.8449,94.56,9.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49349.8449,,Marcy et al. (2002)
2449349.8449,85.93,9.17,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49349.8449,,Fischer et al. (2014)
2449349.8449,74.6,9.1739,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49349.8449,,Rosenthal et al. (2021)
2449349.845,93.02,9.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49349.845,,Fischer et al. (2008)
2449350.927,114.22,9.0,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49350.927,,Marcy et al. (2002)
2449350.927,105.83,8.97,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49350.927,,Fischer et al. (2014)
2449350.927,94.49,8.9736,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49350.927,,Rosenthal et al. (2021)
2449469.6478,118.8,8.9612,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.6478,,Rosenthal et al. (2021)
2449469.6478,138.5,9.0,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.6478,,Marcy et al. (2002)
2449469.6478,130.14,8.96,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.6478,,Fischer et al. (2014)
2449469.648,137.23,9.0,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.648,,Fischer et al. (2008)
2449676.063,139.01,4.8,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49676.063,,Fischer et al. (2008)
2449676.0632,135.92,5.3,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49676.0632,,Marcy et al. (2002)
2449676.0632,131.91,4.84,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49676.0632,,Fischer et al. (2014)
2449676.0632,120.58,4.8378,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49676.0632,,Rosenthal et al. (2021)
2449767.774,17.73,4.9,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49767.774,,Marcy et al. (2002)
2449767.77441,22.6,2.57,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49767.77441,,Fischer et al. (2014)
2449767.77441,9.68,4.39,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49767.77441,,Rosenthal et al. (2021)
2449768.832,8.32,4.7,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49768.832,,Fischer et al. (2008)
2449768.83203,-10.31,4.8067,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49768.83203,,Rosenthal et al. (2021)
2449768.83203,-5.49,2.68,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49768.83203,,Fischer et al. (2014)
2449768.8322,1.01,6.0,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49768.8322,,Marcy et al. (2002)
2449793.79785,107.31,1.52,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.79785,,Fischer et al. (2014)
2449793.79785,102.25,2.7019,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.79785,,Rosenthal et al. (2021)
2449793.798,120.81,2.6,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.798,,Fischer et al. (2008)
2449793.7983,113.31,3.3,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.7983,,Marcy et al. (2002)
2450056.988,124.28,3.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50056.988,,Fischer et al. (2008)
2450056.9882,127.44,3.8,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50056.9882,,Marcy et al. (2002)
2450056.98828,107.72,3.1714,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50056.98828,,Rosenthal et al. (2021)
2450056.98828,116.67,1.62,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50056.98828,,Fischer et al. (2014)
2450087.88184,63.9,3.7206,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50087.88184,,Rosenthal et al. (2021)
2450087.88184,77.26,2.16,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50087.88184,,Fischer et al. (2014)
2450087.882,83.16,3.7,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50087.882,,Fischer et al. (2008)
2450087.8823,82.81,4.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50087.8823,,Marcy et al. (2002)
2450088.9186,40.9,3.2,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50088.9186,,Marcy et al. (2002)
2450088.91894,32.6,1.64,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50088.91894,,Fischer et al. (2014)
2450088.91895,23.49,2.7622,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50088.91895,,Rosenthal et al. (2021)
2450088.919,41.87,2.7,DACE,55 Cnc,DACE_PUBLIC,,,DACE_public_get_timeseries,50088.919,,Fischer et al. (2008)
