BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2444655.009,46.7,18.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44655.009,,Campbell et al. (1988)
2444687.01,125.6,26.6,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44687.01,,Campbell et al. (1988)
2444687.976,35.6,14.4,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44687.976,,Campbell et al. (1988)
2444745.922,-8.9,22.3,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44745.922,,Campbell et al. (1988)
2444753.859,41.0,18.7,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44753.859,,Campbell et al. (1988)
2444770.754,22.2,28.7,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44770.754,,Campbell et al. (1988)
2444958.153,22.4,10.4,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,44958.153,,Campbell et al. (1988)
2445126.413,-7360.0,320.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45126.413,,Baranne et al. (1979)
2445148.8,-2.1,12.4,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45148.8,,Campbell et al. (1988)
2445439.455,-8150.0,310.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45439.455,,Baranne et al. (1979)
2445458.915,15.5,14.2,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45458.915,,Campbell et al. (1988)
2445713.117,-30.0,13.4,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45713.117,,Campbell et al. (1988)
2445782.547,-7920.0,320.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45782.547,,Baranne et al. (1979)
2445809.917,-20.1,10.3,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45809.917,,Campbell et al. (1988)
2445810.915,-10.0,8.4,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45810.915,,Campbell et al. (1988)
2445864.876,-33.8,11.2,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45864.876,,Campbell et al. (1988)
2445868.507,-8460.0,260.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,45868.507,,Baranne et al. (1979)
2446214.383,-8220.0,320.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46214.383,,Baranne et al. (1979)
2446216.858,-15.4,8.6,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46216.858,,Campbell et al. (1988)
2446216.897,-25.9,11.7,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46216.897,,Campbell et al. (1988)
2446395.143,-16.7,11.1,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46395.143,,Campbell et al. (1988)
2446538.003,13.4,9.9,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46538.003,,Campbell et al. (1988)
2446603.88,2.8,8.2,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46603.88,,Campbell et al. (1988)
2446604.833,4.7,6.5,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46604.833,,Campbell et al. (1988)
2446633.77,-23.8,6.5,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46633.77,,Campbell et al. (1988)
2446785.133,8.8,8.9,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46785.133,,Campbell et al. (1988)
2446786.106,4.9,9.3,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46786.106,,Campbell et al. (1988)
2446835.069,15.8,9.2,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46835.069,,Campbell et al. (1988)
2446843.661,-7720.0,320.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46843.661,,Baranne et al. (1979)
2446865.03,17.9,10.8,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46865.03,,Campbell et al. (1988)
2446866.02,13.9,6.9,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46866.02,,Campbell et al. (1988)
2446866.973,-0.8,9.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,46866.973,,Campbell et al. (1988)
2447569.644,-8040.0,320.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,47569.644,,Baranne et al. (1979)
2447668.578,-7460.0,280.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,47668.578,,Baranne et al. (1979)
2447676.415,-8170.0,310.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,47676.415,,Baranne et al. (1979)
2448021.756,-7820.0,280.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48021.756,,Baranne et al. (1979)
2448344.528,-7920.0,320.0,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48344.528,,Baranne et al. (1979)
2448374.8728,-2.35,9.44,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48374.8728,,Fischer et al. (2014)
2448374.8728,-6.78,9.4439,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48374.8728,,Rosenthal et al. (2021)
2448375.7589,-17.6,8.6797,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.7589,,Rosenthal et al. (2021)
2448375.7589,-13.16,8.68,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.7589,,Fischer et al. (2014)
2448375.7666,-9.95,9.13,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.7666,,Fischer et al. (2014)
2448375.7666,-14.39,9.1281,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.7666,,Rosenthal et al. (2021)
2448375.7738,-13.99,9.22,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.7738,,Fischer et al. (2014)
2448375.7738,-18.42,9.2246,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48375.7738,,Rosenthal et al. (2021)
2448376.7833,-4.39,8.5072,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48376.7833,,Rosenthal et al. (2021)
2448376.7833,0.05,8.51,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48376.7833,,Fischer et al. (2014)
2448376.7888,0.5,7.64,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48376.7888,,Fischer et al. (2014)
2448376.7888,-3.94,7.6351,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48376.7888,,Rosenthal et al. (2021)
2448376.7947,-6.17,8.4849,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48376.7947,,Rosenthal et al. (2021)
2448376.7947,-1.73,8.48,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48376.7947,,Fischer et al. (2014)
2448437.6932,-10.99,9.9267,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48437.6932,,Rosenthal et al. (2021)
2448437.6932,-6.55,9.93,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48437.6932,,Fischer et al. (2014)
2448437.6994,-4.44,10.8437,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48437.6994,,Rosenthal et al. (2021)
2448437.6994,0.0,10.84,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48437.6994,,Fischer et al. (2014)
2448438.7189,5.3,13.2984,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.7189,,Rosenthal et al. (2021)
2448438.7189,9.73,13.3,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.7189,,Fischer et al. (2014)
2448438.7321,-7.06,10.42,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.7321,,Fischer et al. (2014)
2448438.7321,-11.5,10.4242,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48438.7321,,Rosenthal et al. (2021)
2448649.0795,9.63,14.36,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48649.0795,,Fischer et al. (2014)
2448649.0795,5.19,14.365,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48649.0795,,Rosenthal et al. (2021)
2448670.9483,7.1,16.0635,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.9483,,Rosenthal et al. (2021)
2448670.9483,11.54,16.06,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.9483,,Fischer et al. (2014)
2448670.9575,8.64,13.5,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.9575,,Fischer et al. (2014)
2448670.9575,4.2,13.4954,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48670.9575,,Rosenthal et al. (2021)
2448746.7883,21.9,13.1659,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48746.7883,,Rosenthal et al. (2021)
2448746.7883,26.33,13.17,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48746.7883,,Fischer et al. (2014)
2448746.8102,19.46,15.17,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48746.8102,,Fischer et al. (2014)
2448746.8102,15.02,15.1682,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,48746.8102,,Rosenthal et al. (2021)
2449067.8843,-7.65,10.89,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49067.8843,,Fischer et al. (2014)
2449067.8843,-12.09,10.8898,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49067.8843,,Rosenthal et al. (2021)
2449067.9064,-20.65,11.0482,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49067.9064,,Rosenthal et al. (2021)
2449067.9064,-16.22,11.05,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49067.9064,,Fischer et al. (2014)
2449123.781,-17.26,11.2305,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49123.781,,Rosenthal et al. (2021)
2449123.781,-12.82,11.23,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49123.781,,Fischer et al. (2014)
2449123.8027,10.13,11.2,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49123.8027,,Fischer et al. (2014)
2449123.8027,5.69,11.1999,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49123.8027,,Rosenthal et al. (2021)
2449173.7087,-12.03,12.81,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.7087,,Fischer et al. (2014)
2449173.7087,-16.46,12.8122,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.7087,,Rosenthal et al. (2021)
2449173.7107,12.31,17.87,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.7107,,Fischer et al. (2014)
2449173.7107,7.87,17.8727,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.7107,,Rosenthal et al. (2021)
2449173.7164,-16.4,8.8673,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.7164,,Rosenthal et al. (2021)
2449173.7164,-11.96,8.87,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.7164,,Fischer et al. (2014)
2449351.0321,8.44,13.4396,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49351.0321,,Rosenthal et al. (2021)
2449351.0321,12.88,13.44,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49351.0321,,Fischer et al. (2014)
2449351.0382,13.27,15.5514,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49351.0382,,Rosenthal et al. (2021)
2449351.0382,17.7,15.55,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49351.0382,,Fischer et al. (2014)
2449411.9451,4.06,15.47,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49411.9451,,Fischer et al. (2014)
2449411.9451,-0.38,15.4714,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49411.9451,,Rosenthal et al. (2021)
2449469.7883,-14.89,9.7029,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.7883,,Rosenthal et al. (2021)
2449469.7883,-10.46,9.7,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.7883,,Fischer et al. (2014)
2449469.7921,-18.46,9.6595,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.7921,,Rosenthal et al. (2021)
2449469.7921,-14.02,9.66,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.7921,,Fischer et al. (2014)
2449770.06,12.21,4.5,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.06,,Fischer et al. (2014)
2449770.06,7.77,4.5019,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.06,,Rosenthal et al. (2021)
2449770.06543,16.22,2.56,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.06543,,Fischer et al. (2014)
2449770.06543,13.17,4.7629,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.06543,,Rosenthal et al. (2021)
2449770.07031,15.46,2.4,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.07031,,Fischer et al. (2014)
2449770.07031,8.25,4.8283,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.07031,,Rosenthal et al. (2021)
2449770.07617,10.3,5.2856,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.07617,,Rosenthal et al. (2021)
2449770.07617,10.45,2.6,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49770.07617,,Fischer et al. (2014)
2449793.91992,-0.82,4.3862,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.91992,,Rosenthal et al. (2021)
2449793.91992,-1.02,2.27,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.91992,,Fischer et al. (2014)
2449793.92773,1.8,3.9305,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.92773,,Rosenthal et al. (2021)
2449793.92773,-2.08,1.94,DACE,61 Vir,DACE_PUBLIC,,,DACE_public_get_timeseries,49793.92773,,Fischer et al. (2014)
