BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2451744.976,72.1,3.9,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51744.976,,Mitchell et al. (2013)
2451780.886,60.9,4.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51780.886,,Mitchell et al. (2013)
2451807.843,-46.3,4.8,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51807.843,,Mitchell et al. (2013)
2451853.694,-75.3,4.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51853.694,,Mitchell et al. (2013)
2451856.737,-76.5,4.6,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51856.737,,Mitchell et al. (2013)
2451899.645,65.6,5.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51899.645,,Mitchell et al. (2013)
2451932.598,101.3,5.5,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,51932.598,,Mitchell et al. (2013)
2452049.0,-54.6,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52049.0,,Mitchell et al. (2013)
2452079.999,50.9,5.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52079.999,,Mitchell et al. (2013)
2452083.991,82.4,4.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52083.991,,Mitchell et al. (2013)
2452098.992,65.9,5.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52098.992,,Mitchell et al. (2013)
2452099.962,71.3,4.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52099.962,,Mitchell et al. (2013)
2452100.982,71.2,4.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52100.982,,Mitchell et al. (2013)
2452107.959,86.8,5.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52107.959,,Mitchell et al. (2013)
2452109.955,60.0,4.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52109.955,,Mitchell et al. (2013)
2452125.939,82.6,4.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52125.939,,Mitchell et al. (2013)
2452163.837,-10.0,4.9,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52163.837,,Mitchell et al. (2013)
2452164.896,5.7,5.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52164.896,,Mitchell et al. (2013)
2452165.868,4.5,4.6,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52165.868,,Mitchell et al. (2013)
2452166.885,-0.7,5.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52166.885,,Mitchell et al. (2013)
2452174.843,-45.9,5.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52174.843,,Mitchell et al. (2013)
2452175.82,-56.4,5.8,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52175.82,,Mitchell et al. (2013)
2452176.798,-55.5,4.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52176.798,,Mitchell et al. (2013)
2452177.826,-42.3,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52177.826,,Mitchell et al. (2013)
2452192.772,-75.8,5.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52192.772,,Mitchell et al. (2013)
2452193.805,-95.2,5.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52193.805,,Mitchell et al. (2013)
2452194.786,-110.7,4.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52194.786,,Mitchell et al. (2013)
2452205.714,-92.8,5.6,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52205.714,,Mitchell et al. (2013)
2452206.754,-103.4,5.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52206.754,,Mitchell et al. (2013)
2452207.716,-98.8,5.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52207.716,,Mitchell et al. (2013)
2452222.754,-89.1,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52222.754,,Mitchell et al. (2013)
2452223.698,-81.4,5.5,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52223.698,,Mitchell et al. (2013)
2452258.635,31.2,6.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52258.635,,Mitchell et al. (2013)
2452259.675,44.9,5.8,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52259.675,,Mitchell et al. (2013)
2452295.594,111.2,6.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52295.594,,Mitchell et al. (2013)
2452297.595,116.8,7.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52297.595,,Mitchell et al. (2013)
2452437.985,45.5,6.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52437.985,,Mitchell et al. (2013)
2452438.963,59.6,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52438.963,,Mitchell et al. (2013)
2452439.99,30.8,5.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52439.99,,Mitchell et al. (2013)
2452452.995,82.0,5.5,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52452.995,,Mitchell et al. (2013)
2452453.944,55.5,5.6,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52453.944,,Mitchell et al. (2013)
2452454.958,49.3,6.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52454.958,,Mitchell et al. (2013)
2452464.987,72.1,5.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52464.987,,Mitchell et al. (2013)
2452465.954,44.9,5.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52465.954,,Mitchell et al. (2013)
2452466.975,80.3,5.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52466.975,,Mitchell et al. (2013)
2452471.924,53.6,5.6,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52471.924,,Mitchell et al. (2013)
2452483.979,102.5,5.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52483.979,,Mitchell et al. (2013)
2452484.947,88.1,5.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52484.947,,Mitchell et al. (2013)
2452494.978,94.5,6.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52494.978,,Mitchell et al. (2013)
2452495.941,94.7,5.8,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52495.941,,Mitchell et al. (2013)
2452496.97,101.0,5.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52496.97,,Mitchell et al. (2013)
2452505.951,65.0,6.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52505.951,,Mitchell et al. (2013)
2452506.919,62.9,5.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52506.919,,Mitchell et al. (2013)
2452507.851,31.3,6.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52507.851,,Mitchell et al. (2013)
2452517.914,13.5,6.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52517.914,,Mitchell et al. (2013)
2452519.944,-4.1,5.8,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52519.944,,Mitchell et al. (2013)
2452528.862,-18.8,5.5,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52528.862,,Mitchell et al. (2013)
2452529.917,-27.8,6.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52529.917,,Mitchell et al. (2013)
2452530.887,-44.4,5.3,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52530.887,,Mitchell et al. (2013)
2452531.897,-47.3,5.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52531.897,,Mitchell et al. (2013)
2452532.858,-34.6,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52532.858,,Mitchell et al. (2013)
2452541.884,-72.1,5.5,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52541.884,,Mitchell et al. (2013)
2452542.825,-66.1,6.2,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52542.825,,Mitchell et al. (2013)
2452543.849,-53.8,5.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52543.849,,Mitchell et al. (2013)
2452559.876,-91.9,6.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52559.876,,Mitchell et al. (2013)
2452560.792,-96.1,6.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52560.792,,Mitchell et al. (2013)
2452571.766,-85.2,5.9,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52571.766,,Mitchell et al. (2013)
2452573.779,-64.9,6.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52573.779,,Mitchell et al. (2013)
2452589.758,-75.6,6.0,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52589.758,,Mitchell et al. (2013)
2452590.812,-55.8,6.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52590.812,,Mitchell et al. (2013)
2452603.749,-8.9,6.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52603.749,,Mitchell et al. (2013)
2452604.645,-16.5,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52604.645,,Mitchell et al. (2013)
2452605.685,-34.7,6.1,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52605.685,,Mitchell et al. (2013)
2452615.702,43.7,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52615.702,,Mitchell et al. (2013)
2452616.731,48.8,6.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52616.731,,Mitchell et al. (2013)
2452617.62,18.7,6.6,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52617.62,,Mitchell et al. (2013)
2452801.984,-2.7,5.7,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52801.984,,Mitchell et al. (2013)
2452803.98,15.7,5.4,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52803.98,,Mitchell et al. (2013)
2452837.959,113.0,6.9,DACE,91 Aqr,DACE_PUBLIC,,,DACE_public_get_timeseries,52837.959,,Mitchell et al. (2013)
