BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2452986.51556887,-4075.06044671361,9.67735086754281,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,52986.51556887012,2003-12-12,
2453157.89917053,-4146.70170989283,3.85670253890397,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53157.89917053003,2004-05-31,
2453182.04389,59.62,4.0099,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53182.04389,,Rosenthal et al. (2021)
2453182.04389,25.99,4.24,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53182.04389,,Butler et al. (2017)
2453195.93242,-200.85,2.96,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53195.93242,,Butler et al. (2017)
2453195.93242,-169.5,2.7365,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53195.93242,,Rosenthal et al. (2021)
2453201.82420493,-4239.67492177815,4.29865602178377,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53201.8242049301,2004-07-14,
2453468.89311752,-4304.49986462885,3.95653393640355,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53468.89311752003,2005-04-07,
2453469.84428849,-4360.89799396174,3.86459275614496,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53469.84428848978,2005-04-08,
2453499.86900575,-4219.62770152399,4.98608536983572,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53499.86900574993,2005-05-08,
2453521.89512133,-4635.86761230862,5.79225471249869,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53521.89512132993,2005-05-30,
2453551.80474948,-4206.03133132927,4.375425655212339,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53551.80474947998,2005-06-29,
2453593.62289297,-4039.87216002741,4.39038165005567,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53593.62289297022,2005-08-10,
2453926.02427,-296.19,3.68,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53926.02427,,Butler et al. (2017)
2453926.02427,-269.82,2.7701,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53926.02427,,Rosenthal et al. (2021)
2453926.97343,276.09,2.8521,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53926.97343,,Rosenthal et al. (2021)
2453926.97343,246.72,3.69,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53926.97343,,Butler et al. (2017)
2453927.91402,68.31,1.9143,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53927.91402,,Rosenthal et al. (2021)
2453927.91402,37.83,2.52,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53927.91402,,Butler et al. (2017)
2453931.07334,-188.31,2.6904,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53931.07334,,Rosenthal et al. (2021)
2453932.00098,260.08,2.4288,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53932.00098,,Rosenthal et al. (2021)
2453932.97262,10.0,2.004,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53932.97262,,Rosenthal et al. (2021)
2453933.93792,164.4,2.0373,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53933.93792,,Rosenthal et al. (2021)
2453933.93792,135.78,2.8,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53933.93792,,Butler et al. (2017)
2453934.92403,-187.1,3.69,DACE,AU Mic,DACE_PUBLIC,,,DACE_public_get_timeseries,53934.92403,,Butler et al. (2017)
