BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2453007.83343,53335.3,2.0,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53007.83343,,Hebrard et al. (2010)
2453007.83417589,53323.0019169132,2.23826495339365,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53007.834175889846,2004-01-02,
2453054.71756988,53339.154860595,2.96126360527481,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53054.71756988019,2004-02-18,
2453066.72601655,53320.5006040092,2.97331375249549,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53066.72601654986,2004-03-01,
2453358.83576,53340.8,1.6,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53358.83576,,Hebrard et al. (2010)
2453358.83650623,53331.6662333129,1.8746060358534,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53358.83650622983,2004-12-18,
2453359.80161,53347.9,1.6,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53359.80161,,Hebrard et al. (2010)
2453359.80235528,53338.7764665756,1.9331438647992096,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53359.80235528015,2004-12-19,
2453360.81961,53356.3,1.5,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53360.81961,,Hebrard et al. (2010)
2453360.82036546,53345.116774561,1.83385199209653,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53360.82036546013,2004-12-20,
2453365.8063,53346.6,1.3,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53365.8063,,Hebrard et al. (2010)
2453365.80704765,53338.5048189202,1.49625185151333,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53365.80704765022,2004-12-25,
2453369.84756,53346.5,1.2,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53369.84756,,Hebrard et al. (2010)
2453369.84830716,53335.6004225614,1.4229385940579402,DACE,BD-08 2823,DACE_PUBLIC,,,DACE_public_get_timeseries,53369.8483071602,2004-12-29,
