BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2454514.32514,31144.4,9.5,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54514.32514,,Leger et al. (2009)
2454517.4023,31139.2,7.3,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54517.4023,,Leger et al. (2009)
2454527.54388,31181.8,1.5,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54527.54388,,Queloz et al. (2009)
2454527.54417586,31026.9543475472,1.08100747693097,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54527.54417586001,2008-03-01,
2454530.60432,31173.2,1.5,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54530.60432,,Queloz et al. (2009)
2454530.60461352,31019.5020081491,1.12005762494056,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54530.604613520205,2008-03-04,
2454550.5033,31197.2,2.1,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54550.5033,,Queloz et al. (2009)
2454550.50393467,31040.841137968,2.29492273251288,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54550.503934669774,2008-03-24,
2454775.81912,31188.1,2.2,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54775.81912,,Queloz et al. (2009)
2454775.81974939,31033.2958024927,2.35793104501976,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54775.819749389775,2008-11-04,
2454776.75845,31184.8,2.8,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54776.75845,,Queloz et al. (2009)
2454776.75909272,31031.5735237759,3.08317496552963,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54776.75909272023,2008-11-05,
2454777.76168,31181.7,2.0,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54777.76168,,Queloz et al. (2009)
2454777.76230558,31023.484295456,2.1296270080549,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54777.76230558008,2008-11-06,
2454778.75459,31173.4,1.6,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54778.75459,,Queloz et al. (2009)
2454778.75521878,31015.0824872321,1.74317992918109,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54778.75521878013,2008-11-07,
2454779.75068,31175.0,2.2,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54779.75068,,Queloz et al. (2009)
2454779.75131613,31023.2200823864,2.37339093919896,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54779.75131613016,2008-11-08,
2454780.75479,31180.5,2.6,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54780.75479,,Queloz et al. (2009)
2454780.75543111,31027.7534835105,2.87118764244003,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54780.75543111004,2008-11-09,
2454789.82987,31187.8,1.6,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54789.82987,,Queloz et al. (2009)
2454789.83051547,31032.4880228463,1.6886085363808798,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54789.83051546989,2008-11-18,
2454790.80299,31191.4,2.1,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54790.80299,,Queloz et al. (2009)
2454790.80363185,31038.043975923098,2.3376006208690803,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54790.80363185005,2008-11-19,
2454791.81099,31199.0,1.9,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54791.81099,,Queloz et al. (2009)
2454791.81161859,31044.3614275148,2.00526538504522,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54791.8116185898,2008-11-20,
2454792.80999,31193.3,1.8,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54792.80999,,Queloz et al. (2009)
2454792.81063344,31036.6829807133,1.96060123973804,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54792.81063344004,2008-11-21,
2454793.82773,31185.5,1.8,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54793.82773,,Queloz et al. (2009)
2454793.82836951,31031.1903114527,1.89040651743389,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54793.82836950989,2008-11-22,
2454794.80063,31190.1,1.7,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54794.80063,,Queloz et al. (2009)
2454794.80125485,31036.9016275155,1.84479970611856,DACE,CoRoT-7,DACE_PUBLIC,,,DACE_public_get_timeseries,54794.80125484988,2008-11-23,
