BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2457802.64599488,-31487.8743769372,1.62086266855908,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57802.64599487977,2017-02-17,
2457802.64599488,-31488.9095936216,1.61980055807891,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57802.64599487977,2017-02-17,
2457806.62049388,-31492.9827246001,1.6415907512878,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57806.62049388001,2017-02-21,
2457806.62049388,-31491.5609229274,1.64193471770898,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57806.62049388001,2017-02-21,
2457808.67241564,-31491.670663363,1.2270350380493,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57808.672415640205,2017-02-23,
2457808.67241564,-31490.8161050492,1.22717156338999,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57808.672415640205,2017-02-23,
2457810.62627255,-31496.1657494575,4.75012529914245,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57810.62627254985,2017-02-25,
2457810.62627255,-31495.266775326498,4.752832733203429,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57810.62627254985,2017-02-25,
2457816.53463948,-31495.7316763832,2.14401073481829,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57816.53463948006,2017-03-03,
2457816.53463948,-31496.9948105334,2.14268968830699,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57816.53463948006,2017-03-03,
2457833.62971776,-31490.6617531563,1.69103133917144,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57833.62971775979,2017-03-20,
2457833.62971776,-31489.4252657712,1.68971721675648,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57833.62971775979,2017-03-20,
2457835.53738008,-31488.4798552527,1.67190807335931,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57835.537380080204,2017-03-22,
2457835.53738008,-31487.230120726403,1.67109707770104,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57835.537380080204,2017-03-22,
2457856.48102891,-31490.6961251195,1.51129436028265,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57856.4810289098,2017-04-12,
2457856.48102891,-31491.767303761702,1.5125485912272598,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57856.4810289098,2017-04-12,
2457858.53771197,-31491.4265069512,1.48611614551896,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57858.53771197004,2017-04-14,
2457858.53771197,-31490.03229398,1.4886173210169098,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57858.53771197004,2017-04-14,
2457861.60434978,-31488.8513461467,1.8850370851314,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57861.6043497799,2017-04-17,
2457861.60434978,-31490.1385559429,1.88256060530253,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57861.6043497799,2017-04-17,
2457863.52640314,-31486.5817934113,1.21141024156776,DACE,EPIC 229004835,DACE_PUBLIC,,,DACE_public_get_timeseries,57863.52640313981,2017-04-19,
