BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2448649.0067,-28.73,11.13,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,48649.0067,,Fischer et al. (2014)
2448649.0067,-40.47,11.1291,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,48649.0067,,Rosenthal et al. (2021)
2449173.699,17.78,13.87,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.699,,Fischer et al. (2014)
2449173.699,6.04,13.8748,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49173.699,,Rosenthal et al. (2021)
2449349.9565,-13.89,11.89,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49349.9565,,Fischer et al. (2014)
2449349.9565,-25.62,11.888,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49349.9565,,Rosenthal et al. (2021)
2449351.0105,-5.71,12.11,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49351.0105,,Fischer et al. (2014)
2449351.0105,-17.45,12.1127,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49351.0105,,Rosenthal et al. (2021)
2449374.9918,-9.64,9.6,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49374.9918,,Fischer et al. (2014)
2449374.9918,-21.37,9.5998,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49374.9918,,Rosenthal et al. (2021)
2449469.7707,-11.74,11.7927,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.7707,,Rosenthal et al. (2021)
2449469.7707,0.0,11.79,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.7707,,Fischer et al. (2014)
2449769.9745,-17.12,6.1785,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49769.9745,,Rosenthal et al. (2021)
2449769.9745,-5.38,6.18,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,49769.9745,,Fischer et al. (2014)
2450072.02637,1.27,4.29,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50072.02637,,Fischer et al. (2014)
2450181.78418,-6.53,6.0924,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50181.78418,,Rosenthal et al. (2021)
2450181.78418,-2.17,3.06,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50181.78418,,Fischer et al. (2014)
2450438.04199,33.77,2.36,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50438.04199,,Fischer et al. (2014)
2450438.04199,32.77,5.4025,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50438.04199,,Rosenthal et al. (2021)
2450463.01045,12.14,1.01,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50463.01045,,Butler et al. (2017)
2450463.01045,-2.47,1.1591,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50463.01045,,Rosenthal et al. (2021)
2450503.92285,12.22,4.65,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50503.92285,,Fischer et al. (2014)
2450546.933,-21.39,1.2129,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50546.933,,Rosenthal et al. (2021)
2450546.933,-12.08,1.22,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50546.933,,Butler et al. (2017)
2450605.77479,-25.62,1.0888,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50605.77479,,Rosenthal et al. (2021)
2450605.77479,-11.66,1.06,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50605.77479,,Butler et al. (2017)
2450793.98633,4.61,5.5051,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50793.98633,,Rosenthal et al. (2021)
2450793.98633,5.65,2.5,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50793.98633,,Fischer et al. (2014)
2450837.96482,1.85,1.36,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50837.96482,,Butler et al. (2017)
2450837.96482,-10.63,1.2376,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50837.96482,,Rosenthal et al. (2021)
2450954.81036,-8.38,1.1922,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50954.81036,,Rosenthal et al. (2021)
2450954.81036,-0.45,1.08,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50954.81036,,Butler et al. (2017)
2450955.76277,-8.13,1.2697,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50955.76277,,Rosenthal et al. (2021)
2450955.76277,3.33,1.18,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50955.76277,,Butler et al. (2017)
2451155.07715,1.54,3.33,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51155.07715,,Fischer et al. (2014)
2451155.07715,-1.54,7.2295,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51155.07715,,Rosenthal et al. (2021)
2451172.02101,-5.64,1.27,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51172.02101,,Butler et al. (2017)
2451172.02101,-12.45,1.2811,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51172.02101,,Rosenthal et al. (2021)
2451228.12126,-0.67,1.11,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51228.12126,,Butler et al. (2017)
2451228.12126,-9.14,1.2211,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51228.12126,,Rosenthal et al. (2021)
2451304.71387,-6.22,2.78,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51304.71387,,Fischer et al. (2014)
2451304.71387,-6.81,5.8695,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51304.71387,,Rosenthal et al. (2021)
2451310.81653,-13.68,1.08,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51310.81653,,Butler et al. (2017)
2451310.81653,-23.25,1.1762,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51310.81653,,Rosenthal et al. (2021)
2451551.07771,-3.48,1.91,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51551.07771,,Butler et al. (2017)
2451551.07771,-17.4,1.7519,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51551.07771,,Rosenthal et al. (2021)
2451982.0259,-4.91,1.78,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51982.0259,,Butler et al. (2017)
2451982.0259,-14.98,1.7225,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51982.0259,,Rosenthal et al. (2021)
2452308.03498,-5.04,1.4114,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52308.03498,,Rosenthal et al. (2021)
2452308.03498,3.76,1.46,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52308.03498,,Butler et al. (2017)
2452391.01166,-4.58,1.6638,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52391.01166,,Rosenthal et al. (2021)
2452391.01166,-2.67,1.26,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52391.01166,,Butler et al. (2017)
2452653.10492,-0.4,1.4458,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52653.10492,,Rosenthal et al. (2021)
2452653.10492,2.44,1.36,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52653.10492,,Butler et al. (2017)
2452681.00845,-2.42,1.3289,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52681.00845,,Rosenthal et al. (2021)
2452681.00845,6.06,1.32,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52681.00845,,Butler et al. (2017)
2452711.9096,-4.32,1.31,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52711.9096,,Butler et al. (2017)
2452711.9096,-12.18,1.3112,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52711.9096,,Rosenthal et al. (2021)
2452712.90792,-10.35,1.24,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52712.90792,,Butler et al. (2017)
2452712.90792,-15.45,1.3206,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52712.90792,,Rosenthal et al. (2021)
2452804.85521,-1.94,1.29,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52804.85521,,Butler et al. (2017)
2452804.85521,-6.63,1.2603,DACE,GJ 414 A,DACE_PUBLIC,,,DACE_public_get_timeseries,52804.85521,,Rosenthal et al. (2021)
