BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2451704.98133,-22.67,2.1975,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,51704.98133,,Rosenthal et al. (2021)
2451704.98133,-13.37,2.47,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,51704.98133,,Butler et al. (2017)
2451755.84988,-20.28,2.6279,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,51755.84988,,Rosenthal et al. (2021)
2451755.84988,-17.19,3.03,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,51755.84988,,Butler et al. (2017)
2452007.05274,-25.11,2.6048,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52007.05274,,Rosenthal et al. (2021)
2452007.05274,-16.37,3.0,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52007.05274,,Butler et al. (2017)
2452097.88373,-7.19,2.59,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52097.88373,,Butler et al. (2017)
2452097.88373,-14.99,2.4286,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52097.88373,,Rosenthal et al. (2021)
2452161.74407,-23.32,2.39,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52161.74407,,Butler et al. (2017)
2452161.74407,-30.83,2.388,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52161.74407,,Rosenthal et al. (2021)
2452162.75402,-26.32,2.3588,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52162.75402,,Rosenthal et al. (2021)
2452162.75402,-18.55,2.44,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52162.75402,,Butler et al. (2017)
2452390.03576,-23.46,2.5389,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52390.03576,,Rosenthal et al. (2021)
2452390.03576,-15.77,2.7,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52390.03576,,Butler et al. (2017)
2452445.87146,-14.37,2.97,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52445.87146,,Butler et al. (2017)
2452445.87146,-20.04,2.4444,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52445.87146,,Rosenthal et al. (2021)
2452539.74912,-20.34,2.4243,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52539.74912,,Rosenthal et al. (2021)
2452539.74912,-15.2,2.59,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52539.74912,,Butler et al. (2017)
2452803.92956,-23.28,2.5807,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52803.92956,,Rosenthal et al. (2021)
2452803.92956,-15.91,2.78,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52803.92956,,Butler et al. (2017)
2452849.82892,-5.48,3.16,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52849.82892,,Butler et al. (2017)
2452849.82892,-12.97,2.608,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,52849.82892,,Rosenthal et al. (2021)
2453153.97334,-9.05,2.82,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53153.97334,,Butler et al. (2017)
2453153.97334,-17.34,2.517,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53153.97334,,Rosenthal et al. (2021)
2453158.76511367,6486.76180997559,1.73647939700139,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53158.76511366991,2004-06-01,
2453201.58754545,6480.13091584192,1.43748746631463,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53201.587545449845,2004-07-14,
2453240.79954,-3.95,2.66,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53240.79954,,Butler et al. (2017)
2453240.79954,-15.02,1.6256,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53240.79954,,Rosenthal et al. (2021)
2453480.03571,-13.95,1.6094,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53480.03571,,Rosenthal et al. (2021)
2453480.03571,-1.51,2.59,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53480.03571,,Butler et al. (2017)
2453511.79959586,6485.32537795973,1.42715438666926,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53511.79959585983,2005-05-20,
2453520.78179808,6491.58842970109,1.55507870340664,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53520.78179808008,2005-05-29,
2453783.86398335,6494.53537669131,0.9622096076652088,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53783.86398334988,2006-02-16,
2453810.85292315,6489.711797584419,0.7959168536530881,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53810.852923150174,2006-03-15,
2453811.89245994,6494.54570172766,1.25464346587775,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53811.892459940165,2006-03-16,
2453812.8664947,6490.01875648403,0.991684106524781,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53812.86649469985,2006-03-17,
2453814.84972084,6484.23308915184,0.687618796162564,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53814.84972083988,2006-03-19,
2453816.85810075,6484.73269102226,0.930551911547016,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53816.85810075002,2006-03-21,
2453830.86110407,6486.0982054705,0.881663518871607,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53830.86110407021,2006-04-04,
2453832.90370848,6493.12660837367,0.972319909618369,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53832.90370847983,2006-04-06,
2453834.88562087,6492.77865889235,0.845402272185847,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53834.88562087016,2006-04-08,
2453836.8884218,6485.57319063874,0.714560475221454,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53836.88842179999,2006-04-10,
2453861.79700519,6500.57369187198,0.8714592058641439,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53861.79700519005,2006-05-05,
2453862.77270119,6500.442055512221,1.04297621088424,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53862.77270118985,2006-05-06,
2453863.79780788,6498.616563788931,0.838971872051882,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53863.79780788021,2006-05-07,
2453864.75459577,6494.63952410244,0.937478843767221,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53864.75459577004,2006-05-08,
2453865.7862462,6490.84387856424,0.836157237866316,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53865.78624620009,2006-05-09,
2453866.74376364,6490.0957890376,0.720809073825459,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53866.74376364006,2006-05-10,
2453867.83629345,6493.32391315878,0.937529512903133,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53867.83629345009,2006-05-11,
2453868.81416028,6494.81629550192,0.921219329400224,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53868.81416027993,2006-05-12,
2453869.79012481,6497.53692412523,0.940629600598609,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53869.79012480984,2006-05-13,
2453870.81073827,6494.62854315225,1.10868119657696,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53870.81073827017,2006-05-14,
2453871.81658287,6489.89327807287,1.13229115482403,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53871.81658287021,2006-05-15,
2453882.7336111,6489.48322905862,0.761425190426558,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53882.73361109989,2006-05-26,
2453886.70418728,6487.26316738752,0.720556886886962,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53886.70418728003,2006-05-30,
2453887.77414268,6487.5182556926,0.701366521480139,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53887.774142680224,2006-05-31,
2453917.73814711,6491.87013407768,1.42859939837342,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53917.73814711021,2006-06-30,
2453919.71319333,6494.49541713573,1.3461643211855,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53919.71319332998,2006-07-02,
2453921.61647034,6491.102115314509,0.759595380112997,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53921.616470340174,2006-07-04,
2453944.56689123,6491.40778632656,1.19520357125818,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53944.56689123018,2006-07-27,
2453947.57947199,6495.11625769064,2.11967593624467,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53947.57947199,2006-07-30,
2453950.60247124,6492.72756686095,1.10003648146312,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53950.602471239865,2006-08-02,
2453976.49774916,6495.41940143163,0.859244722717682,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53976.49774916005,2006-08-28,
2453979.594955,6494.53084065504,1.51282533056082,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53979.594955000095,2006-08-31,
2453981.55594977,6487.70317100418,0.877194816341004,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53981.55594976992,2006-09-02,
2453982.52715029,6487.4793804212,1.0368300398931298,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,53982.52715029009,2006-09-03,
2454167.86747844,6492.12105474522,0.876488784796028,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,54167.86747844005,2007-03-07,
2454169.86547371,6491.73660879975,0.902440235259193,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,54169.86547371,2007-03-09,
2454171.87754991,6497.5035299207,0.84650766544464,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,54171.87754990999,2007-03-11,
2454173.85708851,6488.8690260575695,0.8920817201428359,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,54173.85708850995,2007-03-13,
2454194.8479275,6493.19341277463,0.962508571897977,DACE,GJ 667 C,DACE_PUBLIC,,,DACE_public_get_timeseries,54194.84792750003,2007-04-03,
