BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2451034.0873,6.8,2.2,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,51034.0873,,Bailey et al. (2009)
2451119.0159,14.0,6.0,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,51119.0159,,Bailey et al. (2009)
2451411.1222,10.8,3.3,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,51411.1222,,Bailey et al. (2009)
2451683.2628,17.4,2.8,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,51683.2628,,Bailey et al. (2009)
2451743.1456,18.4,2.7,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,51743.1456,,Bailey et al. (2009)
2451767.0812,24.4,2.3,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,51767.0812,,Bailey et al. (2009)
2452062.2443,19.2,2.2,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52062.2443,,Bailey et al. (2009)
2452092.1677,8.4,2.5,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52092.1677,,Bailey et al. (2009)
2452128.1273,1.6,4.0,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52128.1273,,Bailey et al. (2009)
2452455.2341,1.7,1.6,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52455.2341,,Bailey et al. (2009)
2452477.1455,10.0,2.6,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52477.1455,,Bailey et al. (2009)
2452859.0874,-3.5,2.1,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52859.0874,,Bailey et al. (2009)
2452943.0361,-3.3,2.7,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52943.0361,,Bailey et al. (2009)
2452946.9712,1.8,1.9,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52946.9712,,Bailey et al. (2009)
2452985.52049941,13281.566340357,1.66816392641135,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,52985.52049941011,2003-12-11,
2453158.90693299,13279.2399562287,0.867997584505112,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53158.90693299007,2004-06-01,
2453205.7460767,13279.8846997932,1.21852393955638,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53205.74607669981,2004-07-18,
2453214.2066,-10.0,2.5,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53214.2066,,Bailey et al. (2009)
2453217.2117,-14.2,2.3,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53217.2117,,Bailey et al. (2009)
2453217.74464308,13277.8276704586,0.5221500164820471,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53217.74464308005,2004-07-30,
2453218.70819511,13276.744071742502,0.572066465063916,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53218.70819510985,2004-07-31,
2453229.72485361,13279.1280690949,0.5279837997311649,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53229.72485361016,2004-08-11,
2453243.0503,12.8,2.5,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53243.0503,,Bailey et al. (2009)
2453245.1511,-15.4,2.5,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53245.1511,,Bailey et al. (2009)
2453281.0469,-17.7,1.9,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53281.0469,,Bailey et al. (2009)
2453342.54422946,13278.0023022594,0.767800388955176,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53342.54422945995,2004-12-02,
2453485.3011,-12.9,2.0,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53485.3011,,Bailey et al. (2009)
2453490.92796617,13275.7650469303,1.26886796657899,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53490.92796617001,2005-04-29,
2453491.91426262,13277.9489708048,1.98101587844602,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53491.9142626198,2005-04-30,
2453492.93018088,13277.577465524,1.35668397710113,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53492.930180879775,2005-05-01,
2453523.3005,-5.3,1.6,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53523.3005,,Bailey et al. (2009)
2453551.85433113,13278.3200335754,0.461361217151653,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53551.85433113016,2005-06-29,
2453573.80095535,13275.6142756892,0.470236751563533,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53573.800955350045,2005-07-21,
2453574.73387901,13275.9897652179,0.367481020330569,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53574.73387901019,2005-07-22,
2453575.73709128,13275.9241911587,0.405730679485816,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53575.73709128005,2005-07-23,
2453576.142,-9.7,1.7,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53576.142,,Bailey et al. (2009)
2453576.78456262,13276.0422766671,0.427739363978752,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53576.78456261987,2005-07-24,
2453577.79245326,13276.1301529737,0.400382620275405,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53577.79245326016,2005-07-25,
2453578.74758757,13274.5343181662,0.520123303069688,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53578.74758756999,2005-07-26,
2453579.73049715,13277.3101485095,0.469324461230245,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53579.730497150216,2005-07-27,
2453580.7662143,13276.3620049068,0.40688731067645,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53580.76621429995,2005-07-28,
2453628.0699,1.0,5.2,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53628.0699,,Bailey et al. (2009)
2453629.0549,-15.2,2.1,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53629.0549,,Bailey et al. (2009)
2453943.1074,-4.8,1.3,DACE,GJ 832,DACE_PUBLIC,,,DACE_public_get_timeseries,53943.1074,,Bailey et al. (2009)
