BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2450604.94699,-5.77,1.96,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50604.94699,,Rosenthal et al. (2021)
2450604.94699,-6.25,1.71,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50604.94699,,Butler et al. (2017)
2450955.08184,2.27,1.9236,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50955.08184,,Rosenthal et al. (2021)
2450955.08184,3.94,1.85,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50955.08184,,Butler et al. (2017)
2450956.98542,-4.22,1.8,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50956.98542,,Butler et al. (2017)
2450956.98542,-3.13,1.9777,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50956.98542,,Rosenthal et al. (2021)
2450981.86112,1.2,1.92,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50981.86112,,Butler et al. (2017)
2450981.86112,3.16,1.9758,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,50981.86112,,Rosenthal et al. (2021)
2451050.80222,-4.76,1.9429,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51050.80222,,Rosenthal et al. (2021)
2451050.80222,-6.1,1.85,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51050.80222,,Butler et al. (2017)
2451313.03097,-3.97,1.63,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51313.03097,,Butler et al. (2017)
2451313.03097,-1.94,1.7207,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51313.03097,,Rosenthal et al. (2021)
2451367.83067,-4.98,2.17,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51367.83067,,Butler et al. (2017)
2451367.83067,-3.12,2.2359,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51367.83067,,Rosenthal et al. (2021)
2451410.81686,-4.47,2.105,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51410.81686,,Rosenthal et al. (2021)
2451410.81686,-5.17,1.95,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51410.81686,,Butler et al. (2017)
2451703.94604,-2.47,1.8205,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51703.94604,,Rosenthal et al. (2021)
2451703.94604,-2.39,1.84,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,51703.94604,,Butler et al. (2017)
2452004.11308,1.51,1.92,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52004.11308,,Butler et al. (2017)
2452004.11308,2.91,1.9471,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52004.11308,,Rosenthal et al. (2021)
2452097.92793,0.71,2.0944,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52097.92793,,Rosenthal et al. (2021)
2452097.92793,-1.29,2.05,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52097.92793,,Butler et al. (2017)
2452445.90411,8.37,1.94,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52445.90411,,Butler et al. (2017)
2452445.90411,8.17,1.9749,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52445.90411,,Rosenthal et al. (2021)
2452446.8876,7.96,2.2432,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52446.8876,,Rosenthal et al. (2021)
2452446.8876,7.12,2.17,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52446.8876,,Butler et al. (2017)
2452538.74822,1.09,1.85,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52538.74822,,Butler et al. (2017)
2452538.74822,1.92,2.0014,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52538.74822,,Rosenthal et al. (2021)
2452777.9912,-2.02,2.13,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52777.9912,,Butler et al. (2017)
2452777.9912,0.26,2.1387,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52777.9912,,Rosenthal et al. (2021)
2452803.94632,3.49,2.0598,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52803.94632,,Rosenthal et al. (2021)
2452803.94632,-1.13,2.07,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52803.94632,,Butler et al. (2017)
2452849.85595,6.11,1.9996,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52849.85595,,Rosenthal et al. (2021)
2452849.85595,3.17,2.2,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,52849.85595,,Butler et al. (2017)
2453159.74999686,-9381.56757237406,1.30690959242543,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53159.749996860046,2004-06-02,
2453180.85242,0.42,1.92,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53180.85242,,Butler et al. (2017)
2453180.85242,2.29,1.8177,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53180.85242,,Rosenthal et al. (2021)
2453181.85825,-3.39,1.7781,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53181.85825,,Rosenthal et al. (2021)
2453181.85825,-4.32,1.9,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53181.85825,,Butler et al. (2017)
2453478.96125,4.53,1.58,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53478.96125,,Butler et al. (2017)
2453478.96125,4.14,0.993,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53478.96125,,Rosenthal et al. (2021)
2453550.92869,-1.01,1.86,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53550.92869,,Butler et al. (2017)
2453550.92869,3.24,0.9874,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53550.92869,,Rosenthal et al. (2021)
2453574.62328314,-9380.14955289283,0.901592991421848,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53574.623283139896,2005-07-22,
2453602.86508,0.32,0.9588,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53602.86508,,Rosenthal et al. (2021)
2453602.86508,-1.74,1.98,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53602.86508,,Butler et al. (2017)
2453817.86879783,-9382.30569092131,0.83128405290508,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53817.86879782984,2006-03-22,
2453926.94857,-2.23,1.77,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53926.94857,,Butler et al. (2017)
2453926.94857,2.16,1.0229,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53926.94857,,Rosenthal et al. (2021)
2453984.82507,-5.54,1.72,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53984.82507,,Butler et al. (2017)
2453984.82507,-4.23,0.9195,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,53984.82507,,Rosenthal et al. (2021)
2454174.87195763,-9386.66106742439,0.952197092984722,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54174.87195762992,2007-03-14,
2454194.90826704,-9380.87021465364,0.9765684550840972,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54194.908267039806,2007-04-03,
2454247.02751,-0.67,1.53,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54247.02751,,Butler et al. (2017)
2454247.02751,-0.21,0.962,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54247.02751,,Rosenthal et al. (2021)
2454248.04073,3.18,1.82,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54248.04073,,Butler et al. (2017)
2454248.04073,0.55,1.1459,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54248.04073,,Rosenthal et al. (2021)
2454249.963,-3.44,1.69,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54249.963,,Butler et al. (2017)
2454249.963,-0.03,0.9925,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54249.963,,Rosenthal et al. (2021)
2454251.98454,-3.17,1.74,DACE,Gl 686,DACE_PUBLIC,,,DACE_public_get_timeseries,54251.98454,,Butler et al. (2017)
