BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2453813.0208,-20690.0,720.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53813.0208,,Bakos et al. (2007)
2453813.9474,-20790.0,760.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53813.9474,,Bakos et al. (2007)
2453833.9986,-19730.0,790.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53833.9986,,Bakos et al. (2007)
2453838.9448,-19340.0,550.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53838.9448,,Bakos et al. (2007)
2453868.7914,-20180.0,900.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53868.7914,,Bakos et al. (2007)
2453870.9257,-20180.0,750.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53870.9257,,Bakos et al. (2007)
2453871.7697,-18330.0,530.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53871.7697,,Bakos et al. (2007)
2453872.8415,-18840.0,580.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53872.8415,,Bakos et al. (2007)
2453873.826,-19340.0,720.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53873.826,,Bakos et al. (2007)
2453894.7697,-20580.0,810.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53894.7697,,Bakos et al. (2007)
2453895.9348,-19760.0,660.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53895.9348,,Bakos et al. (2007)
2453896.7989,-20430.0,1450.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53896.7989,,Bakos et al. (2007)
2453897.7255,-22070.0,1130.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53897.7255,,Bakos et al. (2007)
2453898.6864,-20360.0,510.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53898.6864,,Bakos et al. (2007)
2453899.7581,-20700.0,690.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53899.7581,,Bakos et al. (2007)
2453901.7039,-19850.0,530.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53901.7039,,Bakos et al. (2007)
2453902.7336,-20650.0,650.0,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53902.7336,,Bakos et al. (2007)
2453981.7775,-556.0,8.4,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53981.7775,,Bakos et al. (2007)
2453981.77853,77.97,9.23,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53981.77853,,Butler et al. (2017)
2453982.8717,-864.1,8.5,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53982.8717,,Bakos et al. (2007)
2453982.87278,-234.83,8.9,DACE,HAT-P-2,DACE_PUBLIC,,,DACE_public_get_timeseries,53982.87278,,Butler et al. (2017)
