BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2451008.976,-40511.0,13.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51008.976,,Zucker et al. (2002)
2451037.797,-40448.0,12.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51037.797,,Zucker et al. (2002)
2451292.098,-40440.0,12.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51292.098,,Zucker et al. (2002)
2451294.111,-40468.0,10.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51294.111,,Zucker et al. (2002)
2451318.033,-40628.0,8.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51318.033,,Zucker et al. (2002)
2451318.992,-40577.0,10.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51318.992,,Zucker et al. (2002)
2451341.97222,349.84,1.4256,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.97222,,Rosenthal et al. (2021)
2451341.97222,296.6,2.7,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.97222,,Butler et al. (2006)
2451341.97222,403.46,1.55,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.97222,,Butler et al. (2017)
2451369.91578,-116.47,1.44,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51369.91578,,Butler et al. (2017)
2451369.91578,-222.7,2.8,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51369.91578,,Butler et al. (2006)
2451369.91578,-169.23,1.3824,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51369.91578,,Rosenthal et al. (2021)
2451372.89071,-302.0,2.1,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51372.89071,,Butler et al. (2006)
2451372.89071,-194.27,1.17,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51372.89071,,Butler et al. (2017)
2451372.89071,-248.55,1.1102,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51372.89071,,Rosenthal et al. (2021)
2451373.80791,-315.8,2.8,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51373.80791,,Butler et al. (2006)
2451373.80791,-209.1,1.37,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51373.80791,,Butler et al. (2017)
2451373.80791,-262.35,1.3994,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51373.80791,,Rosenthal et al. (2021)
2451391.4866,-40582.8,9.572092266462834,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51391.4866,,ELODIE DRS TACOS
2451391.487,-40564.0,10.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51391.487,,Zucker et al. (2002)
2451398.821,-40340.0,14.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51398.821,,Zucker et al. (2002)
2451411.81088,385.46,1.24,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51411.81088,,Butler et al. (2017)
2451411.81088,331.17,1.1353,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51411.81088,,Rosenthal et al. (2021)
2451411.81088,278.0,2.2,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51411.81088,,Butler et al. (2006)
2451422.356,-40133.0,10.0,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51422.356,,Zucker et al. (2002)
2451422.3564,-40153.8,9.41687998874646,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51422.3564,,ELODIE DRS TACOS
2451438.3586,-40529.9,7.671856928280682,DACE,HD 178911 B,DACE_PUBLIC,,,DACE_public_get_timeseries,51438.3586,,ELODIE DRS TACOS
