BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2445150.629,-34510.0,390.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,45150.629,,Baranne et al. (1979)
2445150.629,-34460.0,390.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,45150.629,,Correia et al. (2008)
2445258.356,-34120.0,350.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,45258.356,,Baranne et al. (1979)
2445258.356,-34070.0,350.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,45258.356,,Correia et al. (2008)
2445527.557,-34480.0,360.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,45527.557,,Baranne et al. (1979)
2445527.557,-34430.0,360.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,45527.557,,Correia et al. (2008)
2447039.387,-31890.0,330.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,47039.387,,Correia et al. (2008)
2447039.387,-31900.0,330.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,47039.387,,Baranne et al. (1979)
2447381.526,-31910.0,340.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,47381.526,,Correia et al. (2008)
2447381.526,-31920.0,340.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,47381.526,,Baranne et al. (1979)
2448920.259,-30850.0,410.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,48920.259,,Baranne et al. (1979)
2450308.461,-30370.0,380.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50308.461,,Baranne et al. (1979)
2450627.5858,-30176.0,10.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50627.5858,,Correia et al. (2008)
2450627.5858,-30167.1,9.83608352060718,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50627.5858,,ELODIE DRS TACOS
2450652.5969,-30175.0,10.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50652.5969,,Correia et al. (2008)
2450652.5969,-30171.5,10.195037678401969,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50652.5969,,ELODIE DRS TACOS
2450653.5323,-30216.0,19.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50653.5323,,Correia et al. (2008)
2450653.5323,-30212.5,19.383393140390037,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50653.5323,,ELODIE DRS TACOS
2450656.5634,-30179.5,8.879973167650174,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50656.5634,,ELODIE DRS TACOS
2450656.5634,-30183.0,9.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50656.5634,,Correia et al. (2008)
2450657.5252,-30188.5,8.565916273515768,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50657.5252,,ELODIE DRS TACOS
2450657.5252,-30192.0,9.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50657.5252,,Correia et al. (2008)
2450659.505,-30230.0,390.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50659.505,,Correia et al. (2008)
2450663.49,-30450.0,390.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50663.49,,Baranne et al. (1979)
2450663.49,-30440.0,390.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50663.49,,Correia et al. (2008)
2450770.2281,-30209.0,20.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50770.2281,,Correia et al. (2008)
2450770.2281,-30215.3,20.42578364967282,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50770.2281,,ELODIE DRS TACOS
2450972.5648,-30134.0,10.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50972.5648,,Correia et al. (2008)
2450972.5648,-30131.8,9.972114257422591,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,50972.5648,,ELODIE DRS TACOS
2451004.87786,156.62,17.99,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51004.87786,,Fischer et al. (2009)
2451004.87786,188.55,10.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51004.87786,,Fischer et al. (2014)
2451005.91113,192.76,14.54,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51005.91113,,Fischer et al. (2009)
2451005.91113,211.98,8.89,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51005.91113,,Fischer et al. (2014)
2451014.87598,195.16,8.93,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51014.87598,,Fischer et al. (2014)
2451014.87598,188.81,14.59,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51014.87598,,Fischer et al. (2009)
2451024.5134,-30162.2,9.323059252941082,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51024.5134,,ELODIE DRS TACOS
2451024.5134,-30147.0,9.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51024.5134,,Correia et al. (2008)
2451026.84668,183.26,8.84,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51026.84668,,Fischer et al. (2014)
2451026.84668,178.52,14.52,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51026.84668,,Fischer et al. (2009)
2451027.87109,207.85,16.91,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51027.87109,,Fischer et al. (2009)
2451027.87109,230.11,8.61,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51027.87109,,Fischer et al. (2014)
2451045.85156,258.45,9.17,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51045.85156,,Fischer et al. (2014)
2451045.85156,225.65,13.38,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51045.85156,,Fischer et al. (2009)
2451056.4435,-30155.0,11.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51056.4435,,Correia et al. (2008)
2451056.4435,-30163.6,10.54122600870202,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51056.4435,,ELODIE DRS TACOS
2451062.77637,213.55,10.86,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51062.77637,,Fischer et al. (2014)
2451062.77637,189.21,17.01,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51062.77637,,Fischer et al. (2009)
2451087.3556,-30129.0,9.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51087.3556,,Correia et al. (2008)
2451087.3556,-30139.9,8.838680287096977,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51087.3556,,ELODIE DRS TACOS
2451118.3105,-30153.0,9.279681328535132,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51118.3105,,ELODIE DRS TACOS
2451118.3105,-30144.0,9.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51118.3105,,Correia et al. (2008)
2451123.3169,-30164.0,12.878558384451935,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51123.3169,,ELODIE DRS TACOS
2451123.3169,-30155.0,13.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51123.3169,,Correia et al. (2008)
2451298.91898,-30245.09,6.4,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51298.91898,,Correia et al. (2008)
2451298.91898381,-30245.0949611694,5.515847485415154,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51298.91898381012,1999-04-29,
2451298.91975012,-30327.2329800806,5.737075898557229,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51298.919750120025,1999-04-29,
2451306.90415,-30268.96,7.39,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51306.90415,,Correia et al. (2008)
2451306.90415257,-30268.9588083152,6.655761617048805,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51306.90415256983,1999-05-07,
2451306.90490734,-30333.2094383209,7.20985556548467,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51306.90490734018,1999-05-07,
2451357.5865,-30188.6,14.559234410211946,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51357.5865,,ELODIE DRS TACOS
2451357.5865,-30179.0,15.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51357.5865,,Correia et al. (2008)
2451366.80311,-30251.38,5.49,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51366.80311,,Correia et al. (2008)
2451366.80311006,-30251.37834662,4.596911102407998,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51366.80311005982,1999-07-06,
2451366.80386483,-30348.0602470105,4.850557791699909,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51366.80386483017,1999-07-06,
2451390.534,-30256.0,9.0,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51390.534,,Correia et al. (2008)
2451390.534,-30274.8,9.126676022102735,DACE,HD 196885 A,DACE_PUBLIC,,,DACE_public_get_timeseries,51390.534,,ELODIE DRS TACOS
