BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2450730.6628,-78992.40000000001,7.846684248350517,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,50730.6628,,ELODIE DRS TACOS
2450838.76212,-21.6,1.65,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,50838.76212,,Butler et al. (2017)
2450838.76212,-20.78,1.8326,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,50838.76212,,Rosenthal et al. (2021)
2451051.10569,-2.03,1.4011,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51051.10569,,Rosenthal et al. (2021)
2451051.10569,-1.06,1.34,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51051.10569,,Butler et al. (2017)
2451073.04246,-3.24,1.2,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.04246,,Butler et al. (2017)
2451073.04246,-3.16,1.2133,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.04246,,Rosenthal et al. (2021)
2451154.5379,-78981.9,12.51396538287908,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51154.5379,,ELODIE DRS TACOS
2451171.84795,4.81,1.51,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51171.84795,,Butler et al. (2017)
2451171.84795,3.65,1.5488,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51171.84795,,Rosenthal et al. (2021)
2451228.80594,1.83,1.471,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51228.80594,,Rosenthal et al. (2021)
2451228.80594,2.35,1.37,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51228.80594,,Butler et al. (2017)
2451237.3558,-78948.3,11.143310904240316,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51237.3558,,ELODIE DRS TACOS
2451509.5932,-78962.7,8.364981419042492,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51509.5932,,ELODIE DRS TACOS
2451510.602,-78970.7,8.324185072597022,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51510.602,,ELODIE DRS TACOS
2451542.4122,-78956.3,10.202031373348104,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51542.4122,,ELODIE DRS TACOS
2451550.88478,5.56,1.3469,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51550.88478,,Rosenthal et al. (2021)
2451550.88478,5.9,1.38,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51550.88478,,Butler et al. (2017)
2451551.88096,3.6,1.4255,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51551.88096,,Rosenthal et al. (2021)
2451551.88096,4.35,1.48,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51551.88096,,Butler et al. (2017)
2451581.87017,8.9,1.5367,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51581.87017,,Rosenthal et al. (2021)
2451581.87017,9.07,1.55,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51581.87017,,Butler et al. (2017)
2451853.618,-78976.0,10.332645855333691,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51853.618,,ELODIE DRS TACOS
2451898.03487,-20.82,1.3864,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51898.03487,,Rosenthal et al. (2021)
2451898.03487,-20.13,1.4,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51898.03487,,Butler et al. (2017)
2451974.76461,-2.54,1.5307,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51974.76461,,Rosenthal et al. (2021)
2451974.76461,-1.57,1.52,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,51974.76461,,Butler et al. (2017)
2452003.74221,-14.86,1.57,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52003.74221,,Butler et al. (2017)
2452003.74221,-13.7,1.5032,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52003.74221,,Rosenthal et al. (2021)
2452007.72006,-7.84,1.41,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52007.72006,,Butler et al. (2017)
2452007.72006,-8.92,1.4114,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52007.72006,,Rosenthal et al. (2021)
2452188.14432,6.77,1.45,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52188.14432,,Butler et al. (2017)
2452188.14432,5.68,1.5919,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52188.14432,,Rosenthal et al. (2021)
2452219.15109,13.56,1.7936,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52219.15109,,Rosenthal et al. (2021)
2452219.15109,14.76,1.73,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52219.15109,,Butler et al. (2017)
2452220.08113,-0.22,1.89,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52220.08113,,Butler et al. (2017)
2452220.08113,0.33,1.7968,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52220.08113,,Rosenthal et al. (2021)
2452235.86269,-4.11,1.3784,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52235.86269,,Rosenthal et al. (2021)
2452235.86269,-3.68,1.38,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52235.86269,,Butler et al. (2017)
2452238.88934,2.95,1.6084,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52238.88934,,Rosenthal et al. (2021)
2452238.88934,5.1,1.64,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52238.88934,,Butler et al. (2017)
2452242.92553,7.91,1.43,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52242.92553,,Butler et al. (2017)
2452242.92553,6.3,1.3932,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52242.92553,,Rosenthal et al. (2021)
2452572.99576,21.68,1.5031,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52572.99576,,Rosenthal et al. (2021)
2452572.99576,21.0,1.51,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52572.99576,,Butler et al. (2017)
2452615.5814,-78977.09999999999,8.759140266910252,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52615.5814,,ELODIE DRS TACOS
2452651.93917,2.51,1.51,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52651.93917,,Butler et al. (2017)
2452651.93917,2.49,1.5285,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52651.93917,,Rosenthal et al. (2021)
2452899.09825,-16.48,1.5,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52899.09825,,Butler et al. (2017)
2452899.09825,-16.4,1.2949,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52899.09825,,Rosenthal et al. (2021)
2452995.4709,-78962.90000000001,10.648819970298234,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,52995.4709,,ELODIE DRS TACOS
2453016.86741,4.68,2.1793,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53016.86741,,Rosenthal et al. (2021)
2453016.86741,3.16,2.2,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53016.86741,,Butler et al. (2017)
2453016.8987,-0.02,1.4636,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53016.8987,,Rosenthal et al. (2021)
2453016.8987,0.69,1.54,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53016.8987,,Butler et al. (2017)
2453044.79245,-7.02,1.7801,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53044.79245,,Rosenthal et al. (2021)
2453044.79245,-9.99,1.74,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53044.79245,,Butler et al. (2017)
2453303.1211,8.96,1.48,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53303.1211,,Butler et al. (2017)
2453303.1211,17.4,1.2005,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53303.1211,,Rosenthal et al. (2021)
2453338.90162,-0.24,1.0755,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53338.90162,,Rosenthal et al. (2021)
2453338.90162,0.06,1.23,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53338.90162,,Butler et al. (2017)
2453340.02404,-1.03,1.1765,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53340.02404,,Rosenthal et al. (2021)
2453340.02404,0.0,1.3,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53340.02404,,Butler et al. (2017)
2453368.95279,15.54,1.22,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53368.95279,,Butler et al. (2017)
2453368.95279,9.35,1.1969,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53368.95279,,Rosenthal et al. (2021)
2453369.80021,7.24,1.0305,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53369.80021,,Rosenthal et al. (2021)
2453369.80021,11.23,1.24,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53369.80021,,Butler et al. (2017)
2453841.76181,2.33,1.1589,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53841.76181,,Rosenthal et al. (2021)
2453841.76181,4.22,1.31,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53841.76181,,Butler et al. (2017)
2453982.10169,-8.71,1.27,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53982.10169,,Butler et al. (2017)
2453982.10169,-7.57,0.9936,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53982.10169,,Rosenthal et al. (2021)
2453983.09514,-3.62,1.99,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53983.09514,,Butler et al. (2017)
2453983.09514,-2.06,1.371,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53983.09514,,Rosenthal et al. (2021)
2453983.09648,-5.16,1.32,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53983.09648,,Butler et al. (2017)
2453983.09648,-4.09,1.0842,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53983.09648,,Rosenthal et al. (2021)
2453983.09863,-3.96,1.29,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53983.09863,,Butler et al. (2017)
2453983.09863,-2.34,1.035,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53983.09863,,Rosenthal et al. (2021)
2453984.09895,-7.37,1.54,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53984.09895,,Butler et al. (2017)
2453984.09895,-2.06,1.3957,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53984.09895,,Rosenthal et al. (2021)
2453984.10671,-1.08,1.22,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53984.10671,,Butler et al. (2017)
2453984.10671,-2.25,1.0029,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53984.10671,,Rosenthal et al. (2021)
2453985.04721,-6.18,1.0292,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53985.04721,,Rosenthal et al. (2021)
2453985.04721,-4.96,1.26,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,53985.04721,,Butler et al. (2017)
2454130.87196,1.78,1.2198,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54130.87196,,Rosenthal et al. (2021)
2454130.87196,-1.23,1.32,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54130.87196,,Butler et al. (2017)
2454344.11108,18.76,1.3,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54344.11108,,Butler et al. (2017)
2454344.11108,20.04,1.0978,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54344.11108,,Rosenthal et al. (2021)
2454398.06266,9.66,1.35,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54398.06266,,Butler et al. (2017)
2454398.06266,12.92,1.2267,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54398.06266,,Rosenthal et al. (2021)
2454492.85216,6.98,1.2528,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54492.85216,,Rosenthal et al. (2021)
2454492.85216,6.69,1.53,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54492.85216,,Butler et al. (2017)
2454544.81179,26.69,1.5,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54544.81179,,Butler et al. (2017)
2454544.81179,25.66,1.2503,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54544.81179,,Rosenthal et al. (2021)
2454546.73807,25.1,1.33,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54546.73807,,Butler et al. (2017)
2454546.73807,25.83,1.1315,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54546.73807,,Rosenthal et al. (2021)
2454687.13321,6.98,1.44,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54687.13321,,Butler et al. (2017)
2454702.13073,2.74,1.1351,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54702.13073,,Rosenthal et al. (2021)
2454702.1325,4.81,1.17,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54702.1325,,Butler et al. (2017)
2454703.13153,12.42,1.0518,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54703.13153,,Rosenthal et al. (2021)
2454703.13321,13.07,1.29,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54703.13321,,Butler et al. (2017)
2454704.12678,6.06,1.0936,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54704.12678,,Rosenthal et al. (2021)
2454704.12837,6.01,1.3,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54704.12837,,Butler et al. (2017)
2454705.09652,3.94,1.044,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54705.09652,,Rosenthal et al. (2021)
2454705.09802,5.45,1.35,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54705.09802,,Butler et al. (2017)
2454777.95264,16.28,1.4436,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54777.95264,,Rosenthal et al. (2021)
2454777.95374,11.47,1.3825,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54777.95374,,Rosenthal et al. (2021)
2454791.00635,18.54,1.3051,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54791.00635,,Rosenthal et al. (2021)
2454807.9263,1.94,1.34,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54807.9263,,Butler et al. (2017)
2454807.9263,1.02,1.3872,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54807.9263,,Rosenthal et al. (2021)
2454810.89575,-2.18,1.3719,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54810.89575,,Rosenthal et al. (2021)
2454810.89575,-2.09,1.46,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54810.89575,,Butler et al. (2017)
2454818.92255,-1.64,1.6793,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54818.92255,,Rosenthal et al. (2021)
2454820.07072,3.86,1.47,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54820.07072,,Butler et al. (2017)
2454820.07612,5.65,1.2688,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54820.07612,,Rosenthal et al. (2021)
2454820.90157,2.91,1.41,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54820.90157,,Butler et al. (2017)
2454820.90697,2.27,1.1851,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54820.90697,,Rosenthal et al. (2021)
2454821.91307,3.43,1.5,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54821.91307,,Butler et al. (2017)
2454821.91844,1.14,1.1605,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54821.91844,,Rosenthal et al. (2021)
2454822.87036,4.12,1.43,DACE,HD 34445,DACE_PUBLIC,,,DACE_public_get_timeseries,54822.87036,,Butler et al. (2017)
