BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2447662.433,-30710.0,330.0,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,47662.433,,Baranne et al. (1979)
2448014.432,-30350.0,320.0,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,48014.432,,Baranne et al. (1979)
2450463.17053,-62.39,1.0947,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50463.17053,,Rosenthal et al. (2021)
2450463.17053,-3.71,1.21,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50463.17053,,Butler et al. (2017)
2450533.5916,-30564.4,7.879215872309129,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50533.5916,,ELODIE DRS TACOS
2450534.5381,-30567.4,7.420854573502771,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50534.5381,,ELODIE DRS TACOS
2450535.5506,-30564.4,7.900330935213714,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50535.5506,,ELODIE DRS TACOS
2450547.04198,-7.13,1.21,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50547.04198,,Butler et al. (2017)
2450547.04198,-66.82,1.1626,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50547.04198,,Rosenthal et al. (2021)
2450556.5757,-30567.0,8.045335478049575,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50556.5757,,ELODIE DRS TACOS
2450583.4282,-30564.3,8.937596915505614,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50583.4282,,ELODIE DRS TACOS
2450627.4221,-30582.1,7.848666237408259,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50627.4221,,ELODIE DRS TACOS
2450822.7052,-30570.3,7.6018391875982205,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50822.7052,,ELODIE DRS TACOS
2450838.15505,0.0,1.08,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50838.15505,,Butler et al. (2017)
2450838.15505,-58.12,1.0832,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50838.15505,,Rosenthal et al. (2021)
2450858.6024,-30556.1,7.168147926068719,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50858.6024,,ELODIE DRS TACOS
2450885.5787,-30568.3,8.777185298897257,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50885.5787,,ELODIE DRS TACOS
2450940.4317,-30571.8,7.507275716674303,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50940.4317,,ELODIE DRS TACOS
2450940.442,-30750.0,310.0,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50940.442,,Baranne et al. (1979)
2450944.4536,-30565.8,7.830210595354546,DACE,HR 5183,DACE_PUBLIC,,,DACE_public_get_timeseries,50944.4536,,ELODIE DRS TACOS
