BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2457185.6076883,-2338.36065533499,2.29286815534731,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57185.607688299846,2015-06-11,
2457185.67795949,-2335.09209860771,2.05885809678072,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57185.6779594901,2015-06-11,
2457185.82052565,-2331.86879803577,2.3938723415958303,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57185.820525649935,2015-06-11,
2457185.85052922,-2348.6188173224896,3.97856686642577,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57185.85052921996,2015-06-11,
2457186.60052499,-2337.22450014626,3.08737986522568,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57186.60052498989,2015-06-12,
2457186.67059211,-2333.45259268753,2.56668853126101,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57186.67059211014,2015-06-12,
2457186.79094104,-2338.89478031359,2.49203544387208,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57186.79094104003,2015-06-12,
2457186.82440399,-2328.1985129947298,2.7990179575779104,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57186.82440399006,2015-06-12,
2457187.61730152,-2332.45024934746,1.8176937021381496,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57187.61730151996,2015-06-13,
2457187.67536819,-2335.31150554125,1.55167876717693,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57187.67536818981,2015-06-13,
2457187.74460263,-2338.95192543183,2.13259632215408,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57187.74460262992,2015-06-13,
2457187.78216202,-2339.37198655778,1.98110847459139,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57187.78216201998,2015-06-13,
2457187.81583994,-2339.89599507485,2.7860667065915297,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57187.81583994022,2015-06-13,
2457188.63928174,-2338.89579357441,1.94189832902969,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57188.63928173995,2015-06-14,
2457188.69480626,-2339.79703860708,1.60494609927366,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57188.69480626006,2015-06-14,
2457188.76036405,-2346.88329440883,3.5202290072317104,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57188.760364050046,2015-06-14,
2457188.79984606,-2342.4122417314097,2.29202060813765,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57188.79984606011,2015-06-14,
2457188.83219012,-2338.5325333412,3.31218092479815,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57188.83219012013,2015-06-14,
2457189.64186488,-2346.7428860209498,2.57121418528194,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57189.64186487999,2015-06-15,
2457189.69933698,-2348.52775135948,2.29229279380273,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57189.69933698,2015-06-15,
2457189.75720521,-2351.79693606276,2.13889214831321,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57189.75720521016,2015-06-15,
2457189.78969026,-2353.86917358931,2.1984561128352698,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57189.78969025984,2015-06-15,
2457189.82372088,-2351.39796092077,2.39923880004865,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57189.82372087985,2015-06-15,
2457190.64993856,-2348.53025960592,1.55890497173769,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57190.64993856009,2015-06-16,
2457190.68478929,-2345.63840401944,1.61218098997388,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57190.684789290186,2015-06-16,
2457190.71794532,-2346.65531681391,1.83967410368661,DACE,K2-32,DACE_PUBLIC,,,DACE_public_get_timeseries,57190.71794532007,2015-06-16,
