BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2454216.87072,0.0,1.27,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,54216.87072,,Butler et al. (2017)
2454429.13052,-2.81,1.23,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,54429.13052,,Butler et al. (2017)
2454543.95846,0.22,1.24,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,54543.95846,,Butler et al. (2017)
2454847.04279,-0.32,1.41,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,54847.04279,,Butler et al. (2017)
2455173.1069,-18.84,1.28,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,55173.1069,,Butler et al. (2017)
2455232.13899,18.89,1.33,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,55232.13899,,Butler et al. (2017)
2455319.77937,-25.54,1.35,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,55319.77937,,Butler et al. (2017)
2455634.91966,13.21,1.25,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,55634.91966,,Butler et al. (2017)
2456477.73979,15.51,1.51,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,56477.73979,,Butler et al. (2017)
2456641.04425,-25.63,1.32,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,56641.04425,,Butler et al. (2017)
2457786.66478261,34947.4559735043,0.7882898564439851,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.66478260979,2017-02-01,
2457786.67095564,34947.7732364796,0.743715855884583,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.6709556398,2017-02-01,
2457786.67474993,34949.025367996,0.743175409142666,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.67474992992,2017-02-01,
2457786.6786146,34946.1367220077,0.74934209963447,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.678614600096,2017-02-01,
2457786.68244397,34947.1291712855,0.7514477477863051,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.68244396988,2017-02-01,
2457786.68627056,34950.94474399609,0.765398203839164,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.68627056014,2017-02-01,
2457786.69009819,34950.457054196,0.758496018970664,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.69009819021,2017-02-01,
2457786.6939272,34946.9853298757,0.7581995360149549,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.693927200045,2017-02-01,
2457786.69775657,34947.786485806,0.729743694276399,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.69775656983,2017-02-01,
2457786.70158443,34950.7456390485,0.735923540401394,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.701584429946,2017-02-01,
2457786.70541322,34949.704229659,0.7440374832555511,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.70541321999,2017-02-01,
2457786.70985399,34948.424369692504,0.7566586430440599,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.70985399,2017-02-01,
2457786.71371763,34949.627223075804,0.7553539181994819,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.71371763013,2017-02-01,
2457786.71754607,34947.8905918837,0.765990031117442,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.71754607,2017-02-01,
2457786.7213392,34947.9318684633,0.8014803918361361,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.72133920016,2017-02-01,
2457786.72520201,34949.383109569404,0.768688802505062,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.72520201001,2017-02-01,
2457786.7290279,34947.6336213478,0.776175515428007,DACE,KELT-11,DACE_PUBLIC,,,DACE_public_get_timeseries,57786.72902789991,2017-02-01,
