BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
7578.73,25.67,9.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
7847.044,3.91,8.4,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8017.688,31.45,7.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8375.669,-31.38,8.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8646.001,23.79,8.1,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8670.76,-51.89,10.3,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8906.036,-16.09,7.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8991.964,-8.03,7.4,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
8992.891,-21.5,7.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9114.729,50.81,9.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9306.021,83.11,6.4,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9349.845,93.02,9.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9350.927,112.92,9.0,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9469.648,137.23,9.0,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9676.063,139.01,4.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9767.774,28.94,4.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9768.832,8.32,4.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
9793.798,120.81,2.6,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10056.988,124.28,3.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10087.882,83.16,3.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10088.919,41.87,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10089.006,44.1,2.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10089.776,15.31,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10089.986,13.84,2.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10090.745,-0.38,2.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10090.893,-2.98,2.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10091.849,-26.79,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10091.97,-29.53,2.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10120.873,-13.42,3.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10121.888,-7.92,3.0,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10124.857,39.54,3.3,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10125.778,61.93,3.6,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10126.837,90.33,5.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10127.851,110.37,3.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10128.867,125.36,3.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10144.71,134.72,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10144.853,124.1,2.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10145.625,113.54,2.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10145.765,110.64,2.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10148.888,34.05,4.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10150.748,-3.95,3.3,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10152.663,1.25,4.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10168.749,26.06,7.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10171.739,105.83,4.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10172.688,124.28,4.0,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10173.726,116.73,3.5,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10179.735,-13.54,2.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10180.688,-11.76,2.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10181.634,-12.52,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10186.738,134.95,4.6,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10187.688,130.29,5.4,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10199.682,102.67,3.6,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10200.702,131.87,3.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10201.686,134.81,4.3,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10202.689,151.54,3.1,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10203.686,148.76,4.3,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10214.688,91.35,3.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10215.674,108.14,4.4,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10233.691,126.28,5.0,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10422.006,115.47,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10437.929,119.75,2.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10441.954,13.42,2.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10502.78,-14.33,2.7,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10503.764,-20.26,2.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10504.773,4.18,2.3,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10536.772,53.52,4.6,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10537.764,83.66,3.1,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10550.724,64.33,3.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10563.719,13.11,4.2,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10614.693,90.38,2.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10793.902,-13.65,2.6,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10794.962,-21.54,2.8,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
10831.932,104.36,3.1,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
11153.033,66.54,4.4,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
11155.019,84.07,3.9,UID_0043587_RVC_002,UID_0043587_RVC_002.tbl,NASA_RADIAL,/content/drive/MyDrive/Jana_RV_Archive_1GB/raw/nasa_rv/UID_0043587_RVC_002.tbl,UID_0043587_RVC_002.tbl,,,,
