target,file,file_name,rows,archives,instruments,bjd_min,bjd_max,rv_min,rv_max,has_activity,relative_file
HD 20794,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_20794_RV.csv,HD_20794_RV.csv,9021,DACE_PUBLIC,DACE,2444629.518,2460029.49038716,-119551.677021213,99552.527061808,False,data/HD_20794_RV.csv
HD 219134,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_219134_RV.csv,HD_219134_RV.csv,3992,DACE_PUBLIC,DACE,2448906.7182,2458879.70327,-18442.6119392684,323.120005989484,False,data/HD_219134_RV.csv
55 Cnc,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/55_Cnc_RV.csv,55_Cnc_RV.csv,3918,DACE_PUBLIC,DACE,2447578.73,2459239.81402877,-159.35,28931.4028017868,False,data/55_Cnc_RV.csv
HD 160691,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_160691_RV.csv,HD_160691_RV.csv,3322,DACE_PUBLIC,DACE,2447672.946,2457257.67794192,-56900.0,51500.0,False,data/HD_160691_RV.csv
61 Vir,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/61_Vir_RV.csv,61_Vir_RV.csv,3216,DACE_PUBLIC,DACE,2444655.009,2459433.45206215,-8460.0,125.6,False,data/61_Vir_RV.csv
HD 192310,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_192310_RV.csv,HD_192310_RV.csv,2843,DACE_PUBLIC,DACE,2447376.81,2460134.58815534,-55060.0,10.6,False,data/HD_192310_RV.csv
HD 1461,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_1461_RV.csv,HD_1461_RV.csv,2453,DACE_PUBLIC,DACE,2444465.606,2459444.74279542,-10380.0,21.32,False,data/HD_1461_RV.csv
HR 810,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HR_810_RV.csv,HR_810_RV.csv,2348,DACE_PUBLIC,DACE,2446290.942,2459807.91439542,-82.4,17380.0,False,data/HR_810_RV.csv
HD 69830,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_69830_RV.csv,HD_69830_RV.csv,2287,DACE_PUBLIC,DACE,2445711.54,2460033.48394905,-14.96,46351.464995121394,False,data/HD_69830_RV.csv
51 Peg,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/51_Peg_RV.csv,51_Peg_RV.csv,2205,DACE_PUBLIC,DACE,2449610.5268,2458852.68557,-33376.5,132.82,False,data/51_Peg_RV.csv
HD 7924,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_7924_RV.csv,HD_7924_RV.csv,2197,DACE_PUBLIC,DACE,2452187.97,2458795.0161,-22689.1,16.14,False,data/HD_7924_RV.csv
HD 19994,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_19994_RV.csv,HD_19994_RV.csv,2103,DACE_PUBLIC,DACE,2445610.593,2459944.58947202,-107.23,20240.0,False,data/HD_19994_RV.csv
HD 141004,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_141004_RV.csv,HD_141004_RV.csv,2017,DACE_PUBLIC,DACE,2447047.6885,2458887.97392,-66431.7204229736,34.34,False,data/HD_141004_RV.csv
HD 190360,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_190360_RV.csv,HD_190360_RV.csv,1968,DACE_PUBLIC,DACE,2449611.4278,2458955.89265,-45377.0,52.05,False,data/HD_190360_RV.csv
HD 40307,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_40307_RV.csv,HD_40307_RV.csv,1804,DACE_PUBLIC,DACE,2447219.596,2458582.5450901,30640.0,31384.322458370298,False,data/HD_40307_RV.csv
HD 217107,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_217107_RV.csv,HD_217107_RV.csv,1746,DACE_PUBLIC,DACE,2447039.517,2458852.68622,-14240.0,3961.0,False,data/HD_217107_RV.csv
47 UMa,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/47_UMa_RV.csv,47_UMa_RV.csv,1645,DACE_PUBLIC,DACE,2446959.737,2458916.89469,-72.44,11292.2,False,data/47_UMa_RV.csv
HD 38529,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_38529_RV.csv,HD_38529_RV.csv,1603,DACE_PUBLIC,DACE,2450418.959,2458887.74955,-234.5,30568.9,False,data/HD_38529_RV.csv
HD 42618,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_42618_RV.csv,HD_42618_RV.csv,1519,DACE_PUBLIC,DACE,2450366.12865,2458907.85848,-67697.8044586418,20.47,False,data/HD_42618_RV.csv
HD 46375,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_46375_RV.csv,HD_46375_RV.csv,1465,DACE_PUBLIC,DACE,2451070.13667,2459944.74878847,-1116.23823044611,40.81,False,data/HD_46375_RV.csv
HD 3651,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_3651_RV.csv,HD_3651_RV.csv,1442,DACE_PUBLIC,DACE,2447047.854,2458880.70048,-32863.1,29.5,False,data/HD_3651_RV.csv
16 Cyg B,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/16_Cyg_B_RV.csv,16_Cyg_B_RV.csv,1390,DACE_PUBLIC,DACE,2446957.926,2458917.16912,-53.4,83.23,False,data/16_Cyg_B_RV.csv
HD 39091,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_39091_RV.csv,HD_39091_RV.csv,1326,DACE_PUBLIC,DACE,2447219.584,2459225.60456082,-203.6,13600.5940012996,False,data/HD_39091_RV.csv
GJ 581,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_581_RV.csv,GJ_581_RV.csv,1309,DACE_PUBLIC,DACE,2451409.76222,2459748.68620063,-9231.9,19.34,False,data/GJ_581_RV.csv
HD 156668,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_156668_RV.csv,HD_156668_RV.csv,1300,DACE_PUBLIC,DACE,2452832.92339,2458969.9061,-44558.0,11.85,False,data/HD_156668_RV.csv
GJ 411,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_411_RV.csv,GJ_411_RV.csv,1250,DACE_PUBLIC,DACE,2446958.709,2458955.80978,-84664.1,999002.2,False,data/GJ_411_RV.csv
HD 97658,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_97658_RV.csv,HD_97658_RV.csv,1240,DACE_PUBLIC,DACE,2450463.01844,2458795.13981,-1547.81580626089,13.37,False,data/HD_97658_RV.csv
GJ 876,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_876_RV.csv,GJ_876_RV.csv,1232,DACE_PUBLIC,DACE,2447430.792,2458717.78225333,-1655.34181365062,384.32,False,data/GJ_876_RV.csv
14 Her,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/14_Her_RV.csv,14_Her_RV.csv,1227,DACE_PUBLIC,DACE,2449464.5956,2458906.16484,-13927.7,190.71,False,data/14_Her_RV.csv
HD 83443,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_83443_RV.csv,HD_83443_RV.csv,1168,DACE_PUBLIC,DACE,2444621.787,2458492.03605,-80.32,29570.0,False,data/HD_83443_RV.csv
HD 164922,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_164922_RV.csv,HD_164922_RV.csv,1153,DACE_PUBLIC,DACE,2449530.5367,2458919.15661,-11100.0,20206.1,False,data/HD_164922_RV.csv
Barnard's star,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/Barnard_s_star_RV.csv,Barnard_s_star_RV.csv,1138,DACE_PUBLIC,DACE,2446957.8884,2460139.51281601,-110461.4,54.77,False,data/Barnard_s_star_RV.csv
GJ 436,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_436_RV.csv,GJ_436_RV.csv,1122,DACE_PUBLIC,DACE,2451552.077,2458930.6813399,-28.2,9825.60935962013,False,data/GJ_436_RV.csv
